상호,주소,별점,메뉴
쿠우쿠우 블루레일 건대직영점,서울 광진구 아차산로 225 단산화양빌딩 5층,2.9,"치즈계란새우초밥(1,800원), 감태 네기도로&아마에비(3,900원), 민물장어초밥(3,900원), 치즈부채살초밥(2,600원), 우동(5,500원), 데리야끼닭꼬치(1,700원), 광어연어사시미(28,000원), 광어참치사시미(28,000원), 연어참치사시미(28,000원), 광어사시미(28,000원), 연어사시미(28,000원), 참치사시미(28,000원), 민물장어덮밥(16,000원), 연어덮밥(14,000원), 타마고야끼토리(1,800원), 민물장어야끼토리(5,000원), 대게다리튀김 (2p)(1,800원)"
텐동한,서울 광진구 능동로38길 32 1층,3.8,"스페셜텐동(16,000원), 아나고텐동(13,000원), 전복텐동(13,000원), 한텐동(10,000원), 에비텐동(11,000원)"
쉐프의콜렉션,서울 광진구 자양로18길 72 1층,4.2,"고등어회(24,000원), 아보카도 생참치 후토마끼 (8pcs)(38,000원), 우니파스타(33,000원), 가라아게(19,000원), 숙성회 2인(55,000원)"
가츠시 건대점,서울 광진구 광나루로 418,4.5,"안심돈까스(9,500원), 등심 돈까스(9,000원), 생선까스(9,000원), 모듬까스(11,500원), 철판돈까스(10,000원), 돈까스김치나베(10,000원), 소바정식(11,500원), 뚝배기우동정식(11,500원), 판모밀(자루소바)(8,500원), 냉모밀(8,500원), 에비우동(8,500원)"
포비,서울 광진구 동일로26길 57 1층,3.5,
장가,서울 광진구 구의강변로3길 11 지하1층,4.1,"장가모듬(16,000원), 코돈부루(16,000원), 버섯소고기샤브샤브(15,000원), 히레까스(12,000원), 김치나베정식(14,500원), 판모밀정식(14,500원), 냉모밀정식(14,500원), 온모밀정식(15,000원), 짬뽕나베정식(14,500원), 돈까스덮밥(11,000원)"
스시안,서울 광진구 천호대로127길 9 1층,4.3,"사시미 정식 (1인)(30,000원), 오늘의 초밥 (10p)(16,000원), 특선 초밥 (12p)(20,000원), 스페셜 초밥 (12p)(25,000원), 광어초밥 (10p)(19,000원), 연어초밥 (10p)(20,000원), 한우차돌초밥 (8p)(18,000원), 캘리포니아 롤(10,000원), 연어롤(18,000원), 회덮밥(11,000원), 광어덮밥(19,000원), 가케우동(7,000원), 냉모밀(7,000원), 나가사끼짬뽕(13,000원), 제주흑돼지돈까스(13,000원), 새우후라이 (2p)(4,000원), 새우계란불초밥 (5p)(12,000원), 모듬사시미(25,000원), 광어사시미(25,000원), 연어사시미(25,000원), 날치알데마끼(2,000원), 단품초밥 광어 (2p)(5,000원), 단품초밥 연어 (2p)(5,000원), 단품초밥 도미 (2p)(6,000원), 단품초밥참치(아까미)(5,000원), 단품초밥참치(뱃살)(7,000원)"
홍도초밥,서울 광진구 아차산로29길 58,4.3,"특모듬 초밥 14pcs(25,000원), 모듬 초밥 12pcs＋2p（랜덤）=14pcs(20,000원), 롤＋모듬초밥 12pcs(22,000원), 특모듬사시미(60,000원), 모듬사시미(50,000원), 참치사시미(81,000원), 참치초밥 12pcs＋2p（랜덤）=14pcs(30,000원), 연어롤(17,000원), 연어(5,000원), 특덮밥(21,000원), 물회(25,000원), 우동(8,000원), 연어6p＋광어6p＋2p（랜덤）=14pcs(33,000원), 광어초밥 12pcs＋2p（랜덤）=14pcs(32,000원), 연어초밥 12pcs＋2p（랜덤）=14pcs(31,000원), 연어아부리 12pcs＋2p（랜덤）=14pcs(33,000원), 생연어＋아부리 ＋2p（랜덤）=14pcs(33,000원), 참이슬 후레쉬(4,000원), 참이슬 오리지널(4,000원), 처음처럼(4,000원), 진로이즈백(4,000원), 새로(4,000원), 청하(5,000원), 백화수복 원컵(4,000원), 카스(4,500원), 테라(4,500원), 매화수(6,000원), 센(7,000원), 나마죠죠(13,000원), 간바레오또상(32,000원)"
포크포크,서울 광진구 동일로22길 117-16 1층,4.4,"돈우동정식(10,000원), 매콤우동정식(10,000원), 매콤우동(7,500원), 꼬치우동(7,500원), 달콤돈까스(9,000원), 매콤돈까스(9,000원), 매운돈까스(9,000원), 칡물냉면(7,500원), 칡비빔냉면(7,500원), 칡불물냉면(7,500원), 무진장 매운돈가스(9,000원), 칡불비빔냉면(7,500원)"
멘쇼,서울 광진구 군자로2길 3,4.3,"츠케멘(R)(9,000원), 매운맛츠케멘(R)(10,000원)"
