가게명,지역화폐,메뉴,가격,주메뉴,동,평균가격,가격점수,위생점수,총 점수
남원골추어탕,O,추어탕,8000,특수 탕류,구의동,20745.31,26.99405311369172,-30.0,-3.00594688630828
뽀빠이우렁추어탕 자양본점,X,무한리필 1인,13900,특수 탕류,자양동,20745.31,46.90216728503936,8.0,54.90216728503936
이조우렁추어탕,X, 우렁추어탕+솥밥,10000,특수 탕류,구의동,20745.31,33.74256639211465,8.0,41.74256639211465
무병장수 한방삼계탕,X,한방삼계탕,13000,특수 탕류,자양동,20745.31,43.86533630974904,8.0,51.86533630974904
할머니추어탕 자양점,X,추어탕+돌솥밥,12000,특수 탕류,자양동,20745.31,40.49107967053758,8.0,48.49107967053758
일품대가삼계탕,O,삼계탕,16000,특수 탕류,자양동,20745.31,53.98810622738344,8.0,61.98810622738344
내고향사철탕,X,영양탕,15000,특수 탕류,구의동,20745.31,50.61384958817198,8.0,58.61384958817198
명가네 원조남원추어탕,X, 다슬기추어탕,11000,특수 탕류,중곡동,20745.31,37.11682303132611,8.0,45.11682303132611
추미각,O, 통추어탕,13000,특수 탕류,광장동,20745.31,43.86533630974904,-30.0,13.86533630974904
하동우렁추어탕 아차산점,X, 우렁추어탕+솥밥,13000,특수 탕류,구의동,20745.31,43.86533630974904,8.0,51.86533630974904
이담감자탕,X,뼈해장국,9000,특수 탕류,구의동,20745.31,30.368309752903183,8.0,38.36830975290319
본가왕뼈감자탕,O, 양평해장국,10000,특수 탕류,화양동,20745.31,33.74256639211465,8.0,41.74256639211465
노룬산왕뼈감자탕,X,뼈해장국,10000,특수 탕류,자양동,20745.31,33.74256639211465,8.0,41.74256639211465
청년감자탕순대국 중곡역점,O,뼈해장국(공기밥 포함),10000,특수 탕류,중곡동,20745.31,33.74256639211465,8.0,41.74256639211465
돕,O,우동뚝배기,10000,특수 탕류,화양동,20745.31,33.74256639211465,8.0,41.74256639211465
한가터,, 추어탕,10000,특수 탕류,구의동,20745.31,33.74256639211465,8.0,41.74256639211465
