상호,주소,별점,메뉴
비에이치테이블,서울 광진구 아차산로45길 16 1층 101호,4.5,"칠리치킨 아보카도 파니니(13,000원), 에그 베이컨 치즈 파니니(13,000원), 수제요거트와 제철과일(8,500원), 사워도우플레이트(18,000원), 토스트플레이트(18,000원), 프렌치토스트(14,000원), 트러플어니언토스트(14,000원), 블랙커피(4,000원), 콜드브루라떼(5,000원), 바닐라콜드브루라떼(5,500원), 헤이즐넛콜드크루라떼(5,500원), 피치레몬에이드(6,000원), 자몽에이드(5,500원), 오렌지에이드(5,500원), 타바론티(4,500원), 매실캐모마일(6,000원), 스파클링애플주스(4,500원), 오렌지주스(3,000원), 제로콜라(3,000원)"
호파스타 건대본점,서울 광진구 군자로3길 23 1층,3.9,"쉬림프 수제 바질 페스토(9,900원), 알프레도 크림(8,900원), 비프 치즈 생크림 로제(9,900원), 비프 풍미가 좋은 라구 볼로네제(10,900원), 뽀모도로(8,900원), 알리오올리오(8,900원), 트러플 비프 풍미가 좋은 화이트라구(11,900원), 트러플 베이컨 크림 리조또(10,900원), 트러플 베이컨 바질크림 리조또(10,900원), 클래식 라구 볼로네제 라자냐(14,900원), 비프수제바질페스토생면라자냐(15,900원)"
래빗홀버거,서울 광진구 광나루로 424 1층,4.4,"클래식 버거(10,800원), 치즈버거(8,800원), 머쉬룸 버거(10,800원), 핫페퍼 버거(10,800원)"
누이테이블,서울 광진구 아차산로26길 19 1층 101호,4.1,"비프트러플뇨끼(18,900원), 역시 스테이크(45,000원), 핏자(16,000원), 바다해산물 리조또(18,000원), 라자냐(19,000원), 생면 볼로네제 파스타(20,000원), 생면 베이컨 크림 파스타(18,000원), 버섯 리조또(16,500원), 치킨크림 리조또(17,000원), 이리비아타(15,500원), 봉골레파스타(17,500원), 특선(0원)"
모모스테이크 건대점,서울 광진구 능동로13길 10 지하1층,4.4,"스테이크＋삼겹 도시락(14,500원), 스테이크＋새우 도시락(15,500원), 스테이크＋함박 도시락(16,000원), 소고기 함박스테이크 도시락(10,500원), 모모스테이크（S）도시락(10,500원), 모모스테이크（M）도시락(12,500원), 삼겹＋목살 도시락(13,000원), 모모스테이크（L）도시락(14,500원), 삼겹 스테이크（S）도시락(10,000원), 삼겹 스테이크（M）도시락(11,500원), 삼겹 스테이크（L）도시락(13,000원), 직화목살스테이크（S）도시락(10,500원), 직화목살스테이크（M）도시락(12,000원), 직화목살스테이크（L）도시락(13,500원), 토핑 스테이크 도시락(13,500원), 토핑 함박스테이크 도시락(13,500원), 불고기 함박스테이크 도시락(10,500원), 직화 목살스테이크 덮밥 도시락(10,000원), 직화 소불고기 덮밥 도시락(10,500원), 불고기피자(5,000원), 베이컨피자(5,000원), 치즈피자(4,000원), 베이컨(1,500원), 치즈퐁듀(1,500원), 계란후라이(1,000원), 해쉬브라운 치즈구이(1,500원), 공기밥(1,000원), 버섯구이(2,500원), 콜라 500mL(1,500원), 사이다 500mL(1,500원)"
수퍼슬라이더스,서울 광진구 능동로13길 50 1층 1호,4.7,"아메리칸뷰티(4,300원), 매드맥스칠리(4,300원), 마틸다(4,300원), 부바검프쉬림프(4,300원), 딥임팩트(4,300원), 버드맨(4,300원), 원초적본능(7,400원), 원초적본능2(9,600원), 모던타임즈(8,600원), 아이엠유어파더(11,200원), 빅버드맨(8,800원), 뉴욕치즈독(6,400원), 디트로이트칠리독(6,800원), 시카고클래식핫도그(7,400원), 슬라이더미니세트(7,800원), 슬라이더1인세트(11,700원), 슬라이더&핫도그 1인세트(14,200원), 슬라이더2인세트(22,800원), 버거&슬라이더2인세트(22,600원)"
C156,서울 광진구 동일로 156 H애비뉴 지하1층,3.9,"매운해산물파스타(18,000원), 드럭치킨(27,000원), 오늘의파스타(16,000원), 김치볶음밥(17,000원), 미소봉골레파스타(18,000원), 포르치니 딸리아뗄레 크림파스타(18,000원), 화이트라구뇨끼(20,000원), 소꼬리찜과 샤프란리조또(22,000원), 폭립바베큐(40,000원), 채끝등심스테이크 (250g)(53,000원), 바베큐플레터(60,000원)"
르뱅포레,서울 광진구 아차산로 639 1-2층,2.7,"꽃게 로제 파스타(27,500원), 봉골레(19,500원), 라구파스타(21,000원), 뇨끼 파스타(18,000원), 채끝버섯 파스타(22,500원), 반첸타 파스타(19,500원), 연어&아보카도 에그 베네딕트(19,000원), 시금치&베이컨 에그 베네딕트(17,000원), 햄&치즈 에그 베네딕트(16,000원), 랜치라구번(18,000원), 프렌치 토스트(16,000원), 갈릭새우 파니니(15,000원), 불고기 고르곤졸라 파니니(15,000원), 풍기 버섯 파니니(15,000원), 에그 잠봉 샌드위치(17,000원), 에그 인헬(19,500원)"
버터버거,서울 광진구 구천면로 13 광진빌딩 1층 103~104호,4.1,"치즈버거(6,500원), 서프앤터프(11,500원), 치즈베이컨토마토(9,500원), 더블치즈버거(9,400원), 베이컨더블치즈버거(10,800원), 스프라우트버거(9,500원), 통새우버거(10,500원), 세트메뉴(4,500원), 핫윙(5조각)(5,500원), 프렌치프라이(4,000원), 칠리치즈프라이(6,900원), 트러플프라이(5,900원)"
뚝섬한강공원 아리랑하우스,서울 광진구 자양동 126-1,1.8,"후라이드치킨(17,000원), 양념치킨(18,000원), 간장치킨(18,000원), 불닭치킨(18,000원), 반반치킨(18,000원), 순살 후라이드치킨(18,000원), 순살 양념(19,000원), 순살 간장(19,000원), 순살 불닭(19,000원), 순살 반반치킨(19,000원), 순살 달콤강정(19,000원), 순살 매콤강정(19,000원), 순살 파닭(20,000원), 치킨 골뱅이(30,000원), 마른안주(15,000원), 반건조오징어(15,000원), 감자튀김(18,000원), 돈가스안주(18,000원), 모듬소세지(18,000원), 케이준샐러드(20,000원)"
