가게명,주메뉴,동,상세주소,평점,메뉴목록
간뎃골소림정,한식,중곡동,서울 광진구 긴고랑로22길 7 1층,3.7,"순두부찌개(8,000원), 김치찌개(9,000원), 된장찌개(8,000원), 청국장(9,000원), 동태찌개 (2인이상)(9,000원), 제육볶음 (2인이상)(9,000원), 민어구이(12,000원), 갈치조림(25,000원), 메밀전병(8,000원), 삼겹살(15,000원), 골뱅이무침(17,000원), 닭도리탕(30,000원), 닭도리탕토종닭(50,000원), 옻오리(65,000원), 옻닭(60,000원), 한방백숙(60,000원), 가오리찜(20,000원), 백반(카드결재)(8,000원), 백반(현금결재)(7,000원)"
대성식당,한식,중곡동,서울 광진구 긴고랑로 8,0.0,
셀프1000년장어촌,한식,중곡동,서울 광진구 긴고랑로 42,0.0,
강나루식당,한식,중곡동,서울 광진구 면목로 94,0.0,
불타는닭갈비,닭요리,중곡동,서울 광진구 긴고랑로15길 3,0.0,
남원골민물매운탕,"매운탕,해물탕",중곡동,서울 광진구 면목로 182 1층 2호,5.0,"뚝배기민물매운탕(13,000원), 빠가(소)(45,000원), 메기+빠가(소)(38,000원), 부추전(10,000원), 메기(소)(30,000원), 빠가(중)(55,000원), 빠가(대)(65,000원), 메기+빠가(중)(48,000원), 메기+빠가(대)(58,000원), 메기(중)(40,000원), 메기(대)(50,000원)"
국닭 중곡점,닭요리,중곡동,서울 광진구 영화사로 23 1층,0.0,"국물닭다리(1인)(13,000원), 꼬막비빔밥(1인)(12,000원)"
친구네,한식,중곡동,서울 광진구 영화사로 5-6,5.0,
맛깔식당,한식,중곡동,서울 광진구 긴고랑로29길 48 1층,3.0,"콩국수(7,000원), 떡만두(7,000원), 오늘의메뉴(7,000원), 순두부찌개(7,500원), 된장찌개(7,500원), 청국장찌개(7,500원), 야채비빔밥(7,500원), 김치찌개(8,000원), 콩비지찌개(8,000원), 참치찌개(8,000원), 부대찌개(8,500원), 오징어볶음(10,000원), 동태찌개(8,500원), 돌솥비빔밥(8,500원), 제육볶음(8,500원), 육개장(9,500원)"
공방전,한식,중곡동,서울 광진구 면목로 56 1층,0.0,
쪽갈비에미치닭,"육류,고기",중곡동,서울 광진구 능동로48길 35 1층,0.0,
옛날보리밥부폐,쌈밥,중곡동,서울 광진구 면목로17길 40,0.0,
영동손칼국수,칼국수,중곡동,서울 광진구 긴고랑로36길 25,0.0,
대성식당,한식,중곡동,서울 광진구 면목로11길 4,5.0,
오목대,한식,중곡동,서울 광진구 동일로80길 23 1층,4.0,"삼계탕(14,000원), 냉면(7,000원)"
바지락칼국수,칼국수,중곡동,서울 광진구 능동로47길 15-1,0.0,
서울맛집,한식,중곡동,서울 광진구 동일로72길 9,0.0,"부대전골+계란찜또는누룽지+공기밥2(20,000원), 닭볶음탕+계란찜또는누룽지+공기밥3(25,000원), 안동찜닭+계란찜또는누룽지+공기밥3(25,000원), 뼈감자탕+계란찜또는누룽지+공기밥3(25,000원), 돼지목살김치전골+계란찜또는누룽지+공기밥2(20,000원), 불고기전골+계란찜또는누룽지+공기밥2(20,000원), 제육볶음+계란찜또는누룽지+공기밥2(20,000원), 오징어볶음+계란찜또는누룽지+공기밥2(20,000원), 오삼불고기+계란찜또는누룽지+공기밥2(20,000원), 낙지볶음+계란찜또는누룽지+공기밥2(20,000원), 불낙전골+계란찜또는누룽지+공기밥3(25,000원)"
참숯죽마고우,"육류,고기",중곡동,서울 광진구 용마산로 171 1층,0.0,
엄마밥상,한식,중곡동,서울 광진구 면목로 132-1 1층,0.0,"라면(4,000원), 떡라면(5,000원), 치즈라면(5,000원), 순두부찌개(8,000원), 된장찌개(8,000원), 김치찌개(8,000원), 얼큰수제비(7,000원), 제육볶음(9,000원), 육개장(9,000원), 오징어덮밥(9,000원), 청국장(8,000원), 라볶이(5,000원), 공기밥(1,000원), 두부김치(13,000원), 계란말이(10,000원)"
시골마늘보쌈앤삼합족발 중곡점,"족발,보쌈",중곡동,서울 광진구 긴고랑로 46,0.0,
찜닭 닭도리달인,한식,중곡동,서울 광진구 면목로 200,5.0,"안동찜닭(20,000원), 안동참고구마찜닭(22,000원), 홍초찜닭(20,000원), 닭도리탕(19,000원), 순살안동찜닭(22,000원), 순살닭볶음탕(21,000원), 무우 닭볶음탕(19,000원), 무우 순살닭볶음탕(21,000원), 순살안동참고구마찜닭(24,000원), 순살홍초찜닭(22,000원), 돼지갈비찜(25,000원), 백숙 한마리(26,000원), 매운돼지갈비찜(25,000원), 춘천닭갈비(22,000원), 국물닭발(22,000원), 국물닭발세트(27,000원), 메뉴 선택(17,000원), 주먹밥(3,000원), 날치알주먹밥(4,000원), 김치주먹밥(4,000원), 멸치주먹밥(4,000원), 참치주먹밥(4,000원), 오돌뼈주먹밥(6,000원), 누룽지탕(5,000원), 왕만두(6,000원), 공기밥(1,000원), 참이슬 오리지널(4,000원), 처음처럼(4,000원), 참이슬 후레쉬(4,000원), 카스 프레시(4,000원)"
방앗간컴퍼니,한식,중곡동,서울 광진구 긴고랑로7길 5 1층,0.0,
냉면정복,한식,중곡동,서울 광진구 천호대로125길 5,0.0,"돈까스1p+물냉면(15,000원), 돈까스1p+매운(불)물냉면(16,000원), [정복]물냉면(9,000원), [정복]비빔냉면(9,000원), [정복]매운(불) 물냉면(10,000원), 고기만두2p+물냉면(12,000원), 콩국수(9,000원), 우동(9,000원), 냉짬뽕(10,000원), 고기만두(3p)(4,000원), 돈까스1p+비빔냉면(15,000원), 돈까스1p+매운(불)비빔냉면(16,000원), 김치만두2p+물냉면(12,000원), 고기만두2p+비빔냉면(12,000원), 김치만두2p+비빔냉면(12,000원), 고기만두2p+매운(불)물냉면(13,000원), 김치만두2p+매운(불)비빔냉면(13,000원), 중국식냉면(10,000원), 삼선우동(10,000원), 돈까스(1p)(6,000원), 물만두(20p)(6,000원), 김치만두(3p)(4,000원), 군만두(10p)(5,000원), 콜라 355mL(2,000원), 사이다 355mL(2,000원), 제로콜라 355mL(2,000원)"
고소름푸드 소곱창 밀키트 전문점,"곱창,막창",중곡동,서울 광진구 능동로 438 1층 A호,0.0,"초벌 소곱창 구이 밀키트(10,800원), 우루과이 초벌 소곱창(160g)(9,800원), 호주산 초벌 소곱창(160g)(12,800원), 국내산 초벌 소곱창(160g)(16,800원), 호주산 연육 소막창(200g)(12,800원), 국내산 연육 소막창(200g)(16,800원), 곱대염세트(560g)(27,800원), 곱막염세트(560g)(28,800원), 곱대막세트(560g)(33,800원), 곱대막염세트(760g)(39,800원), 한우 곱대염 세트(560g)(34,800원), 국내산 양념 소대창(200g)(13,800원), 국내산 자숙 소대창(200g)(11,800원), 호주산 연육 소염통(200g)(6,800원), 국내산 연육 소염통(200g)(6,800원)"
옥돌영양탕,"사철탕,영양탕",중곡동,서울 광진구 긴고랑로36길 24,5.0,
시굴청국장,한식,중곡동,서울 광진구 용마산로2길 5,0.0,
돈우리 정육식당,"육류,고기",중곡동,서울 광진구 긴고랑로 52 1층,0.0,
광진감자탕 중곡본점,감자탕,중곡동,서울 광진구 면목로 92,0.0,
부대장인,"찌개,전골",중곡동,서울 광진구 긴고랑로13길 47 1층,5.0,
끼니고,한식,중곡동,서울 광진구 동일로76길 17 101호,5.0,"우삼겹김치찜+밥(8,900원), 돈가스(8,000원), 끼니떡볶이(5,500원), 김치말이국수(6,500원), 소고기쌀국수(8,000원)"
한솔식당,한식,중곡동,서울 광진구 능동로44길 42,4.0,
까시발라 생선구이전문점,한식,중곡동,서울 광진구 동일로68길 38,0.0,"（세스코인증）1인 생선구이(10,000원), 1인 생선구이 PLUS(13,000원), 2인 생선구이(22,000원), 고등어구이(5,500원), 까시발라 키즈set(17,000원), 고등어 조림(16,500원), 제육볶음(8,500원), 부대햄 김치찌개(7,500원), 계란찜(5,000원), 삼치구이(9,000원), 까시발라 고삼set(24,000원), 까시발라 반반set(13,500원), 삼치 조림(16,500원), 구수한 청국장(7,500원), 깔끔한 참치김치찌개(7,500원), 누룽지탕(5,000원), ＋＋＋＋공기밥＋＋＋＋(1,000원), 펩시콜라 뚱캔(2,000원), 스프라이트 뚱캔(2,000원), 탐스오렌지 뚱캔(2,000원), 탐스파인 뚱캔(2,000원)"
포슈아쌀국수 두남자의볶음밥 중곡점,한식,중곡동,서울 광진구 긴고랑로14길 6,0.0,"쌀＋볶세트(19,700원), 쌀＋쌀세트(19,700원), 혼면세트(16,500원), 혼밥세트(16,500원), 냉모밀세트(14,200원), 냉＋볶세트(17,200원), 쌀국수 커플세트(26,500원), （BEST）담백소고기쌀국수(10,000원), （해장킹）얼큰소고기쌀국수(11,000원), （매콤）팟타이볶음밥(10,000원), （강추）나시고랭볶음밥(10,000원), （ 매콤 ） 칠리새우덮밥(10,500원), 볶음밥세트(15,800원), 냉＋볶＋튀김세트(23,700원), 커플세트 1(33,200원), 커플세트2(31,600원), 패밀리세트(41,000원), （추천）깊은해물쌀국수(10,500원), （강추）얼큰해물쌀국수(11,500원), 냉모밀(7,900원), （아이1등）파인애플볶음밥(10,000원), （판매1위）베이컨김치볶음밥（매콤）(10,000원), （탱글）새우볶음밥(10,000원), （직원1픽）베이컨갈릭볶음밥(10,000원), （핫핫）매콤베이컨갈릭볶음밥(10,000원), （매콤）고추장제육덮밥(10,500원), 야채춘권（5pcs）(6,900원), 왕새우튀김（5pcs）(6,900원), 치킨가라아게（8pcs）(6,900원), 해물짜조（3pcs）(6,900원)"
엄마의손맛,한식,중곡동,서울 광진구 천호대로127길 8,5.0,"모듬구이(25,000원), 갈치조림(1인)(9,000원), 고등조림(1인)(8,000원), 돼지불백(1인)(8,000원), 순두부(1인)(7,000원), 고등어구이(1인)(9,000원), 삼치구이(1인)(9,000원), 이면수구이(1인)(9,000원), 갈치조림 안주(2인)(30,000원), 갈치구이 안주(3p)(20,000원), 조기조림 안주(2인)(18,000원), 아귀찜(대)(55,000원), 아귀탕(대)(55,000원), 아귀찜(2인)(19,000원), 고등어구이(12,000원)"
청춘냉삼겹집,한식,중곡동,서울 광진구 긴고랑로 70,0.0,
무진,한식,중곡동,서울 광진구 용마산로 190,0.0,
전주식당,한식,중곡동,서울 광진구 동일로68길 14,3.5,
한식밥상 중곡점,한식,중곡동,서울 광진구 능동로59길 31 1층 102호,0.0,"돼지고기김치찌개(8,900원)"
자매코다리,"해물,생선",중곡동,서울 광진구 긴고랑로 17,0.0,"갑오징어(볶음)덮밥(11,000원), 코다리조림정식(12,000원), 자매동태탕(10,000원), 생생알탕(10,000원), 아귀매운탕(10,000원), 알밥(8,000원), 코다리조림 (소)(32,000원), 코다리갑오징어조림 (2인)(37,000원), 해물/아구 갑오징어찜(4인)(60,000원), 아구해물찜 (소)(38,000원), 동태해물전골 (소)(32,000원), 알+곤이찜(30,000원)"
대청마루참숯생고기,"육류,고기",중곡동,서울 광진구 동일로62길 33,4.0,
시골밥상,한식,중곡동,서울 광진구 동일로64길 43,0.0,
본가대구탕뽈찜탕,"해물,생선",중곡동,서울 광진구 영화사로 27,2.5,
국밥생각,국밥,중곡동,서울 광진구 긴고랑로9길 27 중곡제일시장 111호,0.0,
장충동한방왕족발,"족발,보쌈",중곡동,서울 광진구 긴고랑로11길 11 제일시장 1층 2호,0.0,
엄마손집밥,한식,중곡동,서울 광진구 긴고랑로11길 23,0.0,
지영이네,한식,중곡동,서울 광진구 긴고랑로9길 54,1.0,
명인오가네항아리간장게장,한식,중곡동,서울 광진구 긴고랑로9길 22,0.0,
미식회,회,중곡동,서울 광진구 능동로 403-1,0.0,"세트1(45,000원), 세트2(45,000원), 세트3(50,000원), 세트4(50,000원), 산낙지(20,000원), 전복(20,000원), 해삼(20,000원), 개불(20,000원), 멍게(20,000원), 우럭탕(20,000원), 연포탕(30,000원), 광어 (대)(45,000원), 광어 (중)(30,000원), 우럭 (대)(50,000원), 우럭 (중)(35,000원), 도미(60,000원), 농어(60,000원), 세꼬시 (대)(55,000원), 세꼬시 (중)(40,000원), 연어(20,000원)"
양평민물,"매운탕,해물탕",중곡동,서울 광진구 영화사로 21-1,0.0,
정성밥상,한식,중곡동,서울 광진구 긴고랑로13길 18,0.0,"삼겹살(180g)(15,000원), 닭볶음탕(30,000원), 동태찌게(20,000원), 골뱅이소면(20,000원), 두부김치(15,000원), 제육볶음(1인)(10,000원), 부침개(10,000원)"
포천소고기국밥,국밥,중곡동,서울 광진구 능동로 441,5.0,
전주식당,한식,중곡동,서울 광진구 답십리로78길 25,3.8,
동해횟집,회,중곡동,서울 광진구 능동로47길 7,0.0,
해리국밥,한식,중곡동,서울 광진구 면목로 172,0.0,"국밥+사이드(13,000원), 모듬국밥(12,000원), 고기+김치+갈비 만두 6개(5,300원), 돼지국밥(9,000원), 순대국밥(9,000원), 뽈살국밥(9,500원), 얼큰육개장(11,500원), 선지해장국(10,000원), 순대한판(8,000원), 한방수육(7,500원), 뽈살수육(8,500원), 계란말이(4,000원), 고기만두 6개(5,000원), 김치만두 6개(5,000원), 갈비만두 6개(5,500원), 고기+김치 만두 6개(5,000원), 밥 추가(1,500원), 깍두기 추가(1,500원), 다대기 추가(1,000원), 새우젓 추가(국밥용)(700원), 새우양념믹스(수육용)(500원), 쌈장 추가(500원), 콜라500mL(1,500원), 콜라1.25L(2,500원), 사이다500mL(1,500원), 사이다1.25L(2,500원)"
참숯소갈비살,갈비,중곡동,서울 광진구 긴고랑로 92,0.0,
우동짜장,국수,중곡동,서울 광진구 긴고랑로11길 14,0.0,
정희네,한식,중곡동,서울 광진구 답십리로 400,0.0,
고트(GOAT)부대찌개,"찌개,전골",중곡동,서울 광진구 천호대로 531-1,1.0,
본죽앤비빔밥 구의점,한식,중곡동,서울 광진구 자양로45길 113,0.0,"[NEW] 황금산삼배양근 쇠고기전복죽(33,000원), [NEW] 신선감태 홍게새우죽(33,000원), [NEW] 추어죽(16,000원), [시즌한정] 미나리 꼬막비빔밥(14,500원), [시즌한정] 돈불백열무비빔밥(12,500원), 콩비지뚝배기(12,500원), 제육볶음비빔밥(12,000원), 쇠고기버섯죽(12,000원), 쇠고기미역죽(12,000원), 참치야채죽(11,500원), 단팥죽(달콤한 새알팥죽)(11,500원), 단호박죽(11,500원), 본나물비빔밥(11,000원), 새우죽(11,000원), 통영굴버섯죽(11,000원), 동지팥죽(담백한 밥알팥죽)(11,000원), 7가지야채죽(10,500원), 녹두죽(10,500원), 흑임자죽(10,500원), (보양선물추천) 본죽 아롱사태 도가니 장조림(7,800원), 호두정과(30g)(2,500원), 치즈 쉬림프 비빔 포케(본죽 샐러드보울)(14,000원), 그릴드 닭구이 비빔 포케(본죽 샐러드보울)(14,000원), 차돌 비빔 포케(본죽 샐러드보울)(14,000원), 푸팟퐁커리게살쮺(카레)(본죽 반반죽)(17,500원), 참깨계란새우쮺(본죽 반반죽)(13,000원), 로제해물쮺(본죽 반반죽)(14,000원), 고추장육회비빔밥(14,000원), 소불고기비빔밥(13,000원), 매콤낙지비빔밥(13,000원)"
청기와 남원추어탕,추어,중곡동,서울 광진구 용마산로 8 의안회관 1층,0.0,
간단한상,한식,중곡동,서울 광진구 능동로 382,0.0,
미수식당,한식,중곡동,서울 광진구 천호대로127길 16 1층 104호,3.0,
허벌난가리비칼국수,한식,중곡동,서울 광진구 영화사로 48-1,5.0,
자양동원조떡볶이,한식,중곡동,서울 광진구 긴고랑로9길 22,4.0,"1인실속세트(6,500원), 떡볶이(4,000원), 컵떡볶이(1,000원), 순대(4,000원), 튀김(3개)(2,000원), 쥐포(3개)(2,000원), 피카츄(2,000원), 순대꼬치(2,000원), 오뎅(1개)(500원), 통통소시지(2,000원)"
베스트등갈비 돼지갈비찜,한식,중곡동,서울 광진구 면목로 200,0.0,"간장등갈비찜(21,000원), 매운등갈비찜(21,000원), 매운돼지갈비찜(25,000원), 돼지갈비찜(25,000원), 세트1.간장등갈비찜(30,000원), 세트1.매운등갈비찜(30,000원), 세트2.매운등갈비찜(33,000원), 세트2.간장등갈비찜.(33,000원), 공기밥1개 추가(1,000원), 공기밥2개 추가(2,000원), 공기밥3개 추가(3,000원), 공기밥4개 추가(4,000원), 공기밥5개 추가(5,000원), 쿨피스（450ml） 추가(1,500원), 쿨피스 450ml 2개 추가(2,500원), 스프라이트（500ml） 추가(2,000원), 스프라이트（1.25L） 추가(3,000원), 코카콜라（500ml） 추가(2,000원), 코카콜라（1.25L） 추가(3,000원), 생수（2L） 추가(2,000원), 셀프김가루주먹밥(3,000원), 김치주먹밥 추가(4,000원), 날치알주먹밥 추가(4,000원), 멸치주먹밥 추가(4,000원), 오돌뼈주먹밥 추가(6,000원), 참치셀프주먹밥(4,000원), 처음처럼(4,000원), 참이슬 후레쉬(4,000원), 참이슬 오리지널(4,000원), 카스 프레시(4,000원)"
일품제주흑돼지,"육류,고기",중곡동,서울 광진구 영화사로 33 1층,0.0,"생오겹살(200g)(18,000원), 생목살(200g)(18,000원), 제육볶음쌈밥(10,000원), 묵은지김치찌개(9,000원), 차돌된장찌개(9,000원), 오징어볶음(11,000원), 낙지볶음(13,000원), 냉면(7,000원)"
1968비빔국수돼지갈비,한식,중곡동,서울 광진구 면목로 185 1층,0.0,"돼지갈비(250g)(14,000원), 삼겹살(180g)(14,000원), 양념갈비살(150g)(22,000원), 비빔국수(8,000원), 냉국수(8,000원), 갈비탕(10,000원), 순두부(8,000원)"
강영숙봉평메밀촌 면곡점,한식,중곡동,서울 광진구 면목로 191,5.0,
청년숯불갈비,갈비,중곡동,서울 광진구 긴고랑로 25 1층,0.0,"숙성돼지갈비(250g)(11,000원), 숙성생삼겹살(200g)(11,000원)"
대박전집,한식,중곡동,서울 광진구 긴고랑로9길 15 1층 124호,0.0,
직화신불닭,닭요리,중곡동,서울 광진구 면목로 184,0.0,"통뼈닭발(15,000원), 무뼈닭발(15,000원), 순살불닭(15,000원), 오돌뼈(15,000원), 닭윙(15,000원), 닭봉(15,000원), 마늘소금똥집(15,000원), 마늘양념똥집(15,000원), 양념구이불꼼장어(20,000원), 양념구이불족발(20,000원), 불막창숯불구이(20,000원), 반반세트 기본메뉴2가지선택(20,000원), 반반세트 기본메뉴3가지선택(계란찜서비스)(30,000원), 주먹밥(2,000원), 스팸주먹밥(3,000원), 참치주먹밥(3,000원), 김치주먹밥(3,000원), 날치알주먹밥(3,000원), 멸치주먹밥(3,000원), 오돌뼈주먹밥(6,000원)"
시골장,순대,중곡동,서울 광진구 동일로62길 46,0.0,
미식가,한식,중곡동,서울 광진구 답십리로78길 23,0.0,
광진면옥,냉면,중곡동,서울 광진구 용마산로 171 1층,0.0,
비비당 중곡점,한식,중곡동,서울 광진구 긴고랑로14길 6,0.0,
우리동네한우소머리국밥,한식,중곡동,서울 광진구 능동로47길 42,0.0,
소문난맛집,"해물,생선",중곡동,서울 광진구 긴고랑로11길 26,0.0,
수복,한식,중곡동,서울 광진구 자양로43길 85,0.0,
청년닭갈비&부대찌개,"찌개,전골",중곡동,서울 광진구 긴고랑로 77,0.0,
아줌매순대국,국밥,중곡동,서울 광진구 동일로76가길 4,0.0,
뚱배맛있는김치찜,"찌개,전골",중곡동,서울 광진구 긴고랑로 25,0.0,
견원갈비찜,한식,중곡동,서울 광진구 긴고랑로9길 20,0.0,"나혼자 매운갈비찜(17,500원), 나혼자 간장 갈비찜(17,500원), 매운갈비찜(28,000원), 간장갈비찜(28,000원), 김치갈비찜(27,500원), 나혼자 김치 갈비찜(17,000원), 계란말이(9,000원), 계란찜(2,000원), 계란 후라이(2,000원), 주먹밥(3,000원), 공기밥(1,000원), 코카콜라 335mL(2,000원), 코카콜라 제로 335mL(2,000원), 칠성사이다 335mL(2,000원), 갈아만든 배 335mL(2,000원), 생수 500mL(1,000원), 처음처럼(5,000원), 참이슬 후레쉬(5,000원), 진로이즈백(5,000원), 새로(5,000원), 카스(5,000원), 테라(5,000원)"
한양숯불갈비,갈비,중곡동,서울 광진구 영화사로 43-1,0.0,"돼지갈비(250g)(13,000원), 삼겹살(200g)(13,000원), 소등심(200g)(15,000원), 육계장(7,000원), 된장찌개(6,000원)"
황금품은김밥황품김,한식,중곡동,서울 광진구 긴고랑로9길 29,5.0,"야채김밥(3,500원), 참치김밥(4,000원), 제육김밥(4,000원), 베이컨황금키토김밥(5,000원), 새우튀김황금키토김밥(5,000원)"
한방족발,한식,중곡동,서울 광진구 긴고랑로9길 25,0.0,
옛날가마솥순대국,한식,중곡동,서울 광진구 긴고랑로 69,0.0,
제일 가마솥순대국,순대,중곡동,서울 광진구 면목로 114,0.0,
새싹분식,한식,중곡동,서울 광진구 긴고랑로 150,0.0,
밥팅,한식,중곡동,서울 광진구 용마산로7길 17 1층,0.0,"나물비빔밥+청국장세트(13,000원), 나물비빔밥(10,000원), 보리 나물비빔밥+청국장세트(14,000원), 오징어덮밥(12,000원), 청국장백반(10,000원), 나물비빔밥 차돌된장찌개세트(14,000원), 계란말이(7,000원), 보리나물비빔밥(11,000원), 보리나물비빔밥 차돌된장찌개세트(15,000원), 차돌된장찌개백반(11,000원), 떡갈비 2P(6,000원), 감자고로케 2P(5,000원), 계란후라이 2P(2,000원), 청국장(6,000원), 공기밥(1,500원), 차돌된장찌개(사이드메뉴)(7,000원)"
황기순의 손칼국수&왕돈까스 중곡점,칼국수,중곡동,서울 광진구 영화사로 3,0.0,
박민수불낙지보쌈,"족발,보쌈",중곡동,서울 광진구 천호대로127길 16 1층,0.0,
중곡 흑생고기숯불갈비,갈비,중곡동,서울 광진구 답십리로82길 13,5.0,
화평회관,한식,중곡동,서울 광진구 능동로48길 20,4.5,
낙지한상,"해물,생선",중곡동,서울 광진구 능동로37길 6,0.0,
뚝배기집,한식,중곡동,서울 광진구 용마산로3길 38 1층,1.0,"자반고등어구이(10,900원), 콩비지찌개(10,500원), 청국장(9,500원), 참치비빔밥(9,000원), 제육볶음(10,500원), 오징어볶음(10,500원), 소불고기(10,500원), 된장찌개(9,500원), 닭개장(10,500원), 비빔밥(8,500원), 참치김치볶음밥(9,500원), 통살등심돈까스(10,500원), 김치찌개(9,500원), 참치김치찌개(9,500원), 해물순두부찌개(9,500원), 돼지고기순두부찌개(9,500원), 고등어김치조림(10,500원), 소고기국밥(10,500원), 소고기무국(10,500원), 황태해장국(10,500원), 육개장(10,500원), 장터국밥(10,500원), 갈비탕(11,000원), 삼계탕(15,500원), 오뎅탕(9,000원), 김치볶음밥(9,000원), 새우볶음밥(10,000원), 야채볶음밥(9,500원), 오므라이스(10,000원), 고구마돈까스(10,500원)"
서울마님죽,죽,중곡동,서울 광진구 긴고랑로11길 11,1.0,"호박죽(소)(3,500원), 동지팥죽(소)(3,500원), 참전복죽(소)(5,000원)"
삼륜구돈,"육류,고기",중곡동,서울 광진구 능동로 327,5.0,
굽이마다 만나는 사람들 국수냉면,국수,중곡동,서울 광진구 긴고랑로11길 4,0.0,
본우리집밥국립 정신건강센터점,한식,중곡동,서울 광진구 용마산로 127,0.0,
동네식당,한식,중곡동,서울 광진구 긴고랑로36길 18,5.0,
카츠킨,한식,중곡동,서울 광진구 능동로59길 31,0.0,
바른국밥 광진중곡점,한식,중곡동,서울 광진구 긴고랑로36길 8,0.0,"(열정가득)뼈해장국(13,000원), [야들야들]돼지국밥(10,000원), [고소한 풍미]내장국밥(10,000원), [부산식수육국밥]살코기국밥(11,000원), [시그니처 해장꾼]얼큰 우거지 순대국밥(12,000원), [한방에해결]모듬국밥(11,000원), [열정으로 고아낸]한우사골순대국밥(11,000원), [쫄깃소곱창듬뿍]얼큰소내장탕(13,000원), (두 번 말안함)국밥1인 + 편육(16,000원), 모듬수육(9,000원), 뽈살수육(슬라이스된 살코기)(8,000원), 오소리감투수육(8,000원), 토종순대 한접시(8,000원), 쫀득쫀득 편육(6,500원), 갈비만두튀김(6,000원), 김치왕만두튀김(6,000원), 고기왕만두튀김(6,000원), 갈비만두(6,000원), 왕만두(6,000원), [속이꽉~찬]고기왕만두(6,000원), [속이꽉~찬]김치왕만두(6,000원), 존맛떡갈비(5,000원), 500원의행복(500원), [사장님 PICK :) ]존맛떡갈비3P + 국밥 1인(16,000원), [재주문율100%]고기왕만두4 + 국밥 1인(15,000원), [한국인은 김치]김치왕만두4 + 국밥 1인(15,000원), [포만감100%] 고기왕만두2김치왕만두2 + 국밥 1인(15,000원), 갈비만두8 + 국밥 1인(15,000원), [순대트럭 뺨쳐]토종순대 + 국밥 1인(17,000원), [쫄깃한 식감]오소리감투수육 + 국밥 1인(17,000원)"
엄마손김치 중곡제일시장점,한식,중곡동,서울 광진구 긴고랑로9길 16-1,0.0,"겉절이 500g(7,000원), 알타리 500g(6,000원), 무생채 400g(6,000원), 파김치 200g(7,000원), 깍뚜기 500g(6,000원), 오이소박이（6토막）(6,000원), 포기김치 1kg(13,000원), 부추김치 500g(6,000원), 갓김치500g(6,000원), 백김치 1kg(11,000원), 열무김치 500g(7,000원), 나박김치 1봉(5,000원), 여름동치미1봉(5,000원)"
돈타령,"육류,고기",중곡동,서울 광진구 긴고랑로 50,0.0,
정구네,한식,중곡동,서울 광진구 동일로66길 52,0.0,
넝쿨집,"사철탕,영양탕",중곡동,서울 광진구 능동로 441,0.0,
화순칡냉면왕만두 삼겹살 광진점,한식,중곡동,서울 광진구 천호대로101길 6,0.0,"매운（물） 화순 칡 냉면(8,500원), （비빔）화순 칡 냉면(8,500원), 매운（비빔） 화순 칡 냉면(8,500원), （비빔X물）화순 칡 냉면(9,500원), 고기＋칡냉면세트(18,000원), 매운（비빔X물） 화순 칡 냉면(9,500원), 고기왕만두(8,500원), 김치왕만두(8,500원), 반반왕만두(8,500원), 콜라（캔）(1,000원), 콜라 500ml(1,500원), 콜라 1.25L(2,500원)"
보리밀칼국수,칼국수,중곡동,서울 광진구 용마산로 49-1,0.0,
신성보리밥,한식,중곡동,서울 광진구 용마산로6길 16,0.0,
이사장푸드,한식,중곡동,서울 광진구 용마산로3길 38 1층,0.0,
한식바 도르리,와인바,중곡동,서울 광진구 천호대로109길 7 1층 101호,,"오믈렛 감자전(변동가격), 우니와 단새우(변동가격), 다양한 한식안주(변동가격)"
고품격삼겹살 돈줄놈,한식,중곡동,서울 광진구 능동로 389,0.0,"혼밥세트（고기250g／국내산 1＋등급）(19,900원), 둘밥세트（고기480g／국내산 1＋등급）(36,900원), 셋밥세트（고기660g／국내산 1＋등급）(49,900원), 목살(15,000원), 삼겹살(15,000원), 갈매기살(16,000원), 가브리살(16,000원), 항정살(18,900원), 껍데기두루치기（매콤）(8,000원), 버터간장계란밥(5,000원), 공기밥(1,000원), 계란찜(3,000원), 구운김치(1,500원), 새송이버섯 구이(3,000원), 김치칼국수(7,000원), 물냉면(6,000원), 비빔냉면(6,000원), 된장찌개（도포식당 특제 레시피）(3,000원), 고추장찌개（도포식당 특제 레시피）(3,000원), 콜라(2,000원), 사이다(2,000원)"
소문난식당,한식,중곡동,서울 광진구 긴고랑로11길 26,0.0,
김씨네바베큐,"육류,고기",중곡동,서울 광진구 답십리로78길 3 1층,0.0,"통바베큐치킨 두마리 Set(30,000원), 김씨네 바베큐 Set(37,000원), [가성비 푸짐한 구성의] 통바베큐치킨(16,500원), 삼겹바베큐구이+파채무침 (술안주 강력추천)(23,000원), 얼큰번데기탕(8,000원), 음료(6,000원), [번데기 Set1] 얼큰번데기탕+통바베큐치킨(23,000원), [번데기 Set2] 얼큰번데기탕+삼겹바베큐구이+파채무침(30,000원), [번데기 Set3] 얼큰번데기탕+김씨네 바베큐 Set(43,000원), 푸짐한 패밀리 부대찌개(24,000원), 공기밥(1,000원), 코카콜라 355mL(2,000원), 칠성사이다 355mL(2,000원), 참이슬후레쉬 360mL(5,000원), 처음처럼 360mL(5,000원), 진로 360mL(5,000원), 생맥주 1000cc(8,000원)"
똥남이네,"곱창,막창",중곡동,서울 광진구 용마산로 57,0.0,
시굴집,한식,중곡동,서울 광진구 용마산로2길 5,0.0,
