상호,주소,별점
시아우545,서울 송파구 올림픽로37길 130 파크리오상가 A동 지하1층 B109호,3
보성각,서울 송파구 바람드리길 53 2층,4.3
청해루,서울 성동구 자동차시장1길 24-1 2층,3.6
네남자,서울 동대문구 장한로17길 13-2 1층,4.2
홍탕 성수점,서울 성동구 성수일로12길 52 롯데캐슬파크 상가동 1층 104호,0
왕짜장,서울 성동구 상원길 60 1층,
하이디라오 COEX점,서울 강남구 테헤란로87길 58 컨벤션별관 지하2층 2A09호,4
도삭마라탕,서울 송파구 백제고분로7길 8-8 명소빌딩 2층,3.5
만나,서울 송파구 바람드리길 21,4.6
탕참 탕수육참잘하는집 성수점,서울 성동구 성덕정15길 12 성동상가아파트 1층 14호,0
동강,서울 강남구 테헤란로103길 10 지하1층,3
명가교동짬뽕 뚝섬역점,서울 성동구 왕십리로6길 4 1층,3.7
라화쿵부 롯데마트잠실점,서울 송파구 올림픽로 240 6층,2.3
황실짜장,서울 송파구 바람드리길 59 1층,3.5
경성양꼬치,서울 강남구 도산대로 503 2층,3.5
라홍방마라탕 잠실장미상가점,서울 송파구 올림픽로35길 112 장미아파트 B상가 1동 114호,5
살롱드호우섬 디타워서울포레스트점,서울 성동구 왕십리로 83-21 디타워 스트리트동 지하1층 101-1호,3.6
아이언쉐프 대구반점,서울 송파구 올림픽로35가길 9 잠실푸르지오월드마크 1층 139호,3.6
보배반점 방이점,서울 송파구 올림픽로30길 6 금곡빌딩 1층,3.3
핑퐁,서울 송파구 올림픽로35가길 9 잠실푸르지오 월드마크 135호,4.5
하얼빈양꼬치,서울 송파구 백제고분로7길 32-4 1층,3.3
차알 잠실730타워점,서울 송파구 송파대로 570 지하1층,5
역대짬뽕 본점,서울 동대문구 천호대로 393,3
마라사부마라탕 잠실점,서울 송파구 올림픽로30길 9 1층,4.3
팡팡양꼬치,서울 강동구 올림픽로71길 34,3.2
자금성,서울 성동구 왕십리로14길 26-2 1층,3.4
성민양꼬치 잠실점,서울 송파구 오금로15길 7-1 1층,4.1
딩딤1968 롯데잠실점,서울 송파구 올림픽로 240 지하1층,4.2
베이징,서울 강남구 영동대로96길 37 2층,3.3
야로짬뽕,서울 송파구 신천동 7-14,0
대만우육면,서울 성동구 상원1길 26 1층,2.8
쯔린,"서울 송파구 삼전로 100 아카데미빌딩 1층 105,106호",3.9
블랙차이나,서울 성동구 성덕정15길 12,0
마라에꼬치다 (마라탕&튀김꼬치 전문),서울 동대문구 천호대로85길 31 1층,5
마라공방 롯데월드점,서울 송파구 올림픽로 240 롯데월드 어드벤처동SM -B1F-23호,2.5
서우룸다이닝 서울성수점,서울 성동구 서울숲2길 32-14 갤러리아포레 지하1층 117호,4.5
마르르 롯데에비뉴엘잠실점,서울 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 지하 1층,4
북경반점,서울 송파구 올림픽로49길 6 1층,3.5
오한수 우육면가 잠실점,서울 송파구 올림픽로35길 124 장미아파트 A상가 지하 1층,4.2
어양,서울 송파구 위례성대로 14 한미타워 지하1층,3.8
치엔,서울 송파구 오금로 58 잠실아이스페이스 B101호,2.8
무탄 코엑스점,서울 강남구 영동대로 513 스타필드 코엑스 지하1층 H121호,
복성장,서울 동대문구 장한로24길 46 1층,4
왕짜장 풍납점,서울 송파구 올림픽로55길 11,3.4
댄싱홍콩,서울 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 지하1층,3.5
북경,서울 송파구 올림픽로 289 시그마타워 지하1층 B106호,4.3
차이나정장,서울 강남구 봉은사로114길 12 대웅제약빌딩 본관 지하1층 6호,1
대화중화요리,서울 강남구 학동로81길 5 2층,3.6
강릉명가교동,서울 송파구 올림픽로12길 4,0
화양연화,서울 강동구 올림픽로48길 32 1층,4.8
홍태관,서울 송파구 백제고분로15길 55,5
이화원,서울 강남구 테헤란로87길 46 호텔오크우드 프리미어 3층,3.9
명진관,서울 동대문구 답십리로72길 106 1층,4.5
보배반점 롯데월드 아이스가든점,서울 송파구 올림픽로 240 지하 3층,2.1
만리장,서울 송파구 올림픽로35가길 11 한신코아오피스텔 1층 105호,3.3
여명중화요리,서울 송파구 토성로 27,0
홍콩반점0410 송파구청점,서울 송파구 오금로11길 11-8 현대드림밸리 2층 203~204호,4.3
청담양꼬치 청담본점,서울 강남구 압구정로79길 32 1층,0
은창마트,서울 성동구 성수일로10길 26,0
바이완 잠실본점,서울 송파구 백제고분로7길 58 2층,0
일미양다리꼬치,서울 송파구 오금로15길 10 1층,4.4
형제애,서울 송파구 올림픽로34길 18 1층,3.9
