상호,주소,별점
양복점 구의점,서울 광진구 아차산로51길 35 1층,4.7
중화명가,서울 광진구 면목로 189 1층,4
보배반점 구의점,서울 광진구 광나루로36길 14 1층,2.5
청두인상,서울 광진구 동일로18길 65 1층,3.9
동성관,서울 광진구 자양로13길 56 1층,4.1
중국관,서울 광진구 광나루로56길 34 지하,4.3
춘리마라탕,서울 광진구 아차산로30길 23 1층,3.8
신강양꼬치 건대직영점,서울 광진구 동일로18길 13 1층,5
삼거리양꼬치,서울 광진구 구의로 71 1층,5
차이797 플러스 건대스타시티점,서울 광진구 아차산로 272 더샵스타시티 지하1층,2.7
백리향,서울 광진구 자양로13길 63 1층,5
영각,서울 광진구 면목로 56 1층,3.4
중국성,서울 광진구 능동로3길 48 1층,5
500원참숯양꼬치 중곡점,서울 광진구 영화사로 54-1 1층,2.2
윤호네양꼬치,서울 광진구 자양로13길 84 1층,5
판쿠 마라탕,서울 광진구 자양로15길 67 1층 101호,4.5
건륭,서울 광진구 자양로 73,4
메이 중곡점,서울 광진구 천호대로125길 5 1층,3.8
란주천면관,서울 광진구 동일로18길 32 1층,3.8
연변진미냉면왕양꼬치 본점,"서울 광진구 동일로18길 48 1,2층",5
짬뽕가온 구의점,서울 광진구 아차산로 461 1층,4.7
호재래양꼬치,서울 광진구 능동로35길 28 2층,4.6
원조강뚝꼬치구이전문점 건대점,서울 광진구 동일로18길 10 상가 1층 101~106호,5
라와마라탕 건대점,서울 광진구 아차산로33길 51-4 2층,3.8
군자교,서울 광진구 군자로 140,3.2
홍콩반점0410 아차산역점,서울 광진구 천호대로129길 48 승윤빌딩 1층,3.2
서이양꼬치 군자점,서울 광진구 능동로36길 9 2층,4.4
금문,서울 광진구 자양로 93 2층,3.5
유미마라탕 군자점,서울 광진구 능동로35길 35 1층,4.3
명월숯불양꼬치,서울 광진구 자양로 263 1층,4.3
매화양,서울 광진구 동일로20길 106 2층,1.8
도야짬뽕 중곡점,서울 광진구 면목로 163 1층,3.7
양가,서울 광진구 구의로 15 1층 101호,5
춘리마라탕 어린이대공원점,서울 광진구 광나루로 374 2층,2.1
고향반점,서울 광진구 동일로18길 61 2층,5
한남성 왕꼬치,서울 광진구 동일로18길 67,5
서하짬뽕,서울 광진구 광나루로22길 7 1층,3.8
화성기무한리필샤브샤브,서울 광진구 아차산로29길 44 2층,4.5
중국성 광진구의점,서울 광진구 뚝섬로 741 지하1층,4
마라대국 건대점,서울 광진구 군자로 96,0
해곤선생,서울 광진구 긴고랑로7길 15 103호,4.6
호운래,서울 광진구 동일로18길 47 1층,4.1
사거리양꼬치,서울 광진구 자양로42길 2 1층,4.8
홍콩동화각,서울 광진구 광장로 83 1층 101호,3.3
북경루,서울 광진구 구의로 73,4.8
전설의짬뽕,서울 광진구 아차산로34길 5-3 1층,3.2
샹츠마라 구의직영점,서울 광진구 자양로18길 5,4.3
사천왕,서울 광진구 아차산로51길 8 1층,4
룽쟝족발덮밥,서울 광진구 아차산로32길 20 1층,5
옥문,서울 광진구 광나루로56길 63 프라임상가 지하1층 108호,3.8
홍콩,서울 광진구 영화사로 88,3.7
천명꼬치구이,서울 광진구 동일로18길 26 1층,4.8
짜장앤탕수육,서울 광진구 뚝섬로55길 39,2.9
양자강,서울 광진구 동일로60길 8,4.4
추억의차우동짜장,서울 광진구 뚝섬로 472 1층,4.1
노산서도삭면,서울 광진구 동일로 164 2층 202호,5
도원양꼬치,서울 광진구 자양로13길 22 1층,4.3
길이식당 건대본점,서울 광진구 광나루로24길 18 1층,4.2
오두막양꼬치,서울 광진구 동일로18길 23 1층,4
슈안,서울 광진구 면목로 29 초록대문 2층,4.9
옛날짜장짬뽕,서울 광진구 긴고랑로9길 41 1층,5
샹츠마라 어린이대공원점,서울 광진구 능동로 179-1 1층,4.8
아차성,서울 광진구 천호대로 581 1층,4.1
대중관,서울 광진구 용마산로 115,3.4
탕화쿵푸마라탕 중곡점,서울 광진구 능동로49길 10 1층,4.7
복성장,서울 광진구 면목로 37,2.6
대흥양꼬치 건대2호점,서울 광진구 아차산로30길 39 1층,0
뉴외할머니밥상집 건대점,"서울 광진구 동일로18길 36 도시엔 A동 1층 104,105호",5
라푸마라탕 강변본점,서울 광진구 아차산로 475 1층,3.7
브라더탕수,서울 광진구 답십리로 388,3.7
장만옥,서울 광진구 동일로 150,5
춘리마라탕 아차산역점,서울 광진구 천호대로 666,3
맛짱마라탕 군자점,서울 광진구 능동로 276 한성빌딩 1층 103호,1.3
쿵푸양꼬치포차,서울 광진구 동일로18길 36 1층,5
직화짬뽕전문점,서울 광진구 긴고랑로 19 1층,3.8
몽다래향라관,서울 광진구 동일로18길 23 2층,4.4
춘리,서울 광진구 아차산로 355 타워더모스트광진아크로텔 1층 109호,3.3
화양연화,서울 광진구 동일로24길 93,5
천미방마라탕 아차산점,서울 광진구 자양로43길 47 1층,4.6
소림마라 광진점,서울 광진구 광나루로 545 상가 A동 1층 5호,0
호화반점,서울 광진구 용마산로22길 13,5
마라비빔면&쇠고기냉면,서울 광진구 능동로 69 자양호반써밋아브뉴프랑센트럴 1층 134호,4.2
신미방마라탕 구의점,서울 광진구 뚝섬로59길 57 1층,5
흠향원쌀국수,서울 광진구 동일로20길 72 1층,4.1
얼땅쟈 별관,서울 광진구 동일로18길 67,0
마라봉,서울 광진구 능동로19길 8,4.9
춘리마라탕 광장점,서울 광진구 구의강변로 95 1층 103호,3.3
미스터용차이나버거 건대입구9호점,서울 광진구 동일로20길 72,4.6
탕화쿵푸마라탕 건대입구점,서울 광진구 아차산로 244 2층 나2호,3.4
건대도삭면,서울 광진구 동일로 164 2층 202호,0
신성마라탕,서울 광진구 영화사로 20 1층,3
천미식당,서울 광진구 능동로3길 5 성수현대종합상가 1층 106~109호,5
가람성,서울 광진구 광나루로24길 22,3.1
130마라탕,서울 광진구 자양번영로 34 1층,4.8
마라판다 자양점,서울 광진구 뚝섬로32길 33 1층,5
장강,서울 광진구 광나루로56길 85 강변테크노마트 지하1층 A013호,4.3
천리향,서울 광진구 용마산로4길 36,1.7
D차이나,서울 광진구 면목로 34 금원빌딩 1층,0
짠롱지아,서울 광진구 아차산로 397,4.4
양치는아저씨1929 건대점,서울 광진구 아차산로33길 31,2.8
식위천식당,서울 광진구 동일로18길 52,3.4
이선생우육면대왕,"서울 광진구 동일로18길 56 1,2층",4
라사천마라탕 구의점,서울 광진구 아차산로 309 1층,4
야시장,"서울 광진구 동일로18길 67 1,2층",5
제왕소라뤄쓰펀,서울 광진구 동일로20길 71 1층,4
화룡반점 광진성수점,서울 광진구 아차산로55길 20 2층,0
한갑루짬뽕명가 2호점,서울 광진구 동일로 112,3.8
라사천마라탕 건대점,"서울 광진구 동일로18길 107 1층 101,102호",5
고향식당,서울 광진구 동일로18길 61 2층,4.5
춘리마라탕 중곡점,서울 광진구 용마산로 118 1층,3
짜오팡즈튀김,서울 광진구 동일로18길 50,5
마라전설 구의점,서울 광진구 자양로 109 1층 103호,4.8
마라입구마라탕 화양미소점,서울 광진구 광나루로 352 1층,3.6
탕화쿵푸마라탕 어린이대공원점,서울 광진구 광나루로 394 2층,5
짬뽕에빠지다,서울 광진구 능동로34길 27 1층,0
취헌꼬치구이,서울 광진구 동일로18길 35 1층,4.7
향미양꼬치 2호점,서울 광진구 긴고랑로 73 1층 101호,0
초원양꼬치,서울 광진구 긴고랑로 22,0
미친판다,서울 광진구 아차산로30길 7 2층,1.5
대동각,서울 광진구 뚝섬로52라길 32,1
조씨오리목 건대점,서울 광진구 아차산로30길 8,5
만일향,서울 광진구 능동로3길 5,1
와떠마라탕 건대점,서울 광진구 광나루로 369 광진두산위브파크 지하1층 B115-104호,1
홍콩우육탕면,서울 광진구 동일로18길 65,4.2
은희네양꼬치,서울 광진구 아차산로65길 11,5
장성중화포차,서울 광진구 능동로37길 10,0
허씨정통중경마라샹궈 1호점,서울 광진구 동일로18길 50,0
소관작천하 2호점,서울 광진구 동일로18길 33 1층,0
마마오리,서울 광진구 아차산로30길 18,0
석기시대마라샹궈 건대1호점,서울 광진구 동일로18길 50,4.4
옥문,서울 광진구 자양로40길 36,0
별빛의잔,서울 광진구 동일로18길 65,5
투도식당,서울 광진구 동일로18길 68,1
빠왕마라쇼룽샤 자양점,서울 광진구 동일로18길 69 1층,2
가람성,서울 광진구 자양로19길 80-5,3
애래향,서울 광진구 동일로76길 58,3.8
차이니즈비스트로미미,서울 광진구 아차산로31길 20,4.8
신국빈,서울 광진구 광나루로22길 7,5
식위천양꼬치마라탕,서울 광진구 동일로18길 28,5
차이나궁,서울 광진구 광나루로56길 85 테크노마트 9층 32호,4
