상호,업종,주소,메뉴
에이바헤어 강변점,미용실,서울 광진구 아차산로 502 2층 201호,"앞머리컷(5,000원), 학생컷(15,000원), 남성컷(18,000원), 여성컷(21,000원), 붙임머리 컷(30,000원), 다운펌(30,000원), 전체 다운펌(50,000원), 남성펌(70,000원), 여성펌(80,000원), 여성 셋팅펌(90,000원), 여성 매직(110,000원), 남성 볼륨매직(110,000원), 여성 볼륨매직(120,000원), 남성 특수펌(100,000원), 여성 특수펌(120,000원), 여성 매직셋팅(160,000원), 남성 아이롱펌(160,000원), 여성 아이롱펌(230,000원), 여성 뿌리염색(40,000원), 여성 전체염색(70,000원), 남성 염색(60,000원), 여성 뿌리탈색(50,000원), 여성 전체탈색(90,000원), 남성 탈색(80,000원), 여성 특수염색(120,000원), 남성 특수염색(110,000원), 남성 매니큐어(70,000원), 여성 매니큐어(80,000원), 두피 스케일링(30,000원), 두피 풀케어(70,000원), 데미 클리닉(50,000원), 카나토 클리닉(100,000원), 복구 클리닉(180,000원)"
헤어웨이 광장점,미용실,서울 광진구 아차산로 607 2층 201호,"여성 커트(직급별 차등 요금)(22,000원), 남성 커트(직급별 차등요금)(22,000원), 일반펌 (직급별, 기장별 차등 요금)(90,000원), 열펌 (직급별, 기장별 차등 요금)(130,000원), 전체염색 (기장별 차등 요금)(100,000원), 모발케어 (기장별 차등 요금)(70,000원)"
바나나부띠끄,"피부,체형관리",서울 광진구 천호대로 570 2층,
우연히살롱,미용실,서울 광진구 능동로 333-1,"앞머리컷(5,000원), 남성컷(25,000원), 여성컷(28,000원), 앞머리펌(40,000원), 남자펌(80,000원), 셋팅펌+크리닉+컷(140,000원), 매직+셋팅+크리닉+컷(190,000원), 뿌리볼륨+셋팅+크리닉+컷(180,000원), 남자볼륨매직(100,000원), 셋팅펌(140,000원), 뿌리매직+크리닉+컷(150,000원), 볼륨매직+크리닉+컷(140,000원), 염색+크리닉+컷(130,000원), 남자염색+컷(70,000원), 뿌리염색(60,000원), 여자염색(90,000원), 탈색(100,000원), 크리닉(100,000원), 앞머리컷(5,000원), 샴푸(15,000원), 드라이(30,000원)"
준오헤어 광진광장점,미용실,서울 광진구 아차산로 613 2층 준오헤어,"Bangs Cut (앞머리커트)(10,000원), Junior Cut[~13세까지](30,000원), Design Cut(35,000원), [첫 방문할인] Cold Perm(136,000원), [첫 방문할인]Heating Perm(200,000원), Mix Heating Perm(300,000원), Root Color(90,000원), [첫 방문할인] Full Color(120,000원)"
디탐헤어 건대점,미용실,서울 광진구 능동로 91 3층,"일반커트(샴푸별도)(9,900원), 커트다운펌(N페이결제시할인)(29,700원), 디자인커트(샴푸별도)(14,300원), 남성 일반펌(66,000원), 디지털/셋팅펌(N페이결제시할인)(88,000원), 매직(N페이결제시할인)(99,000원), 매직세팅(N페이결제시할인)(121,000원), 뿌리염색(3cm)(N페이결제시할인)(33,000원), 블랙/브라운 염색(N페이결제시할인)(55,000원), 탈색(N페이결제시할인)(66,000원), 밀본 크리닉(N페이결제시할인)(77,000원)"
온도 헤어 구의광장점,미용실,서울 광진구 구의강변로 88-1 2층,"여성 컷(23,000원), 남성 컷(20,000원), 앞머리 컷(5,000원), 실장 남성컷(23,000원), 실장 여성컷(25,000원), 두피스케일링 컷(44,000원), 남성일반펌(80,000원), 여성일반펌(90,000원), 앞머리펌(30,000원), 남자다운펌(25,000원), 셋팅,디지털(160,000원), 볼륨매직(180,000원), 매직셋팅(200,000원), 앞머리매직(55,000원), 아베다 뿌리염색(100,000원), 아윤채 뿌리염색(70,000원), 아베다 전체염색(130,000원), 아윤채 전체염색(90,000원), 남성 헤어라인염색 (컷포함)(44,000원), 스페셜 힐링스파 (도히스파)(160,000원), 베이직 헤드스파(110,000원), 남성용 간단 헤드스파(70,000원), 트리트먼트 1단계(30,000원), 트리트먼트 2단계(50,000원), 모발 풀케어(100,000원), 모발 풀케어 긴머리(120,000원), 두피 스케일링(30,000원), 두피 3step(50,000원), 블로우드라이(C컬)(25,000원), 아이롱드라이(웨이브)(30,000원), 업스타일(70,000원), 세미업스타일(50,000원)"
공간네일 건대점,"네일아트,네일샵",서울 광진구 능동로 131 3층,"네일 드릴 케어(회원)(12,000원), 네일 드릴 케어(비회원)(15,000원), 남자 네일 케어(17,000원), 페디 드릴 케어(회원)(20,000원), 페디 드릴 케어(비회원)(25,000원), 남자 페디 케어(30,000원), 첫방문 젤네일 29,000(29,000원), 이달의 아트 58,000/68,000(58,000원), 전체연장(10손)+젤컬러 79,000(79,000원), 컬러추가(5,000원), 랩핑(5,000원), 연장(개당)(10,000원), 발톱엄지연장(개당)(15,000원), 그라데이션/프렌치/자석젤(20,000원), 가루글리터,뿌리는글리터(30,000원), 젤제거(회원)(5,000원), 자샵 젤제거(10,000원), 타샵 젤제거(15,000원), 연장제거(20,000원)"
청담더타이&아로마마사지 건대점,"피부,체형관리",서울 광진구 아차산로 237 B1층,
메이크업 낯그리고선,메이크업,서울 광진구 능동로 385-1 3층,
