가게명,지역화폐,메뉴,가격,주메뉴,동,평균가격,가격점수,위생점수,총 점수
혼식당,X,매운갈비찜(1인분),12000,한식,화양동,14931.95,56.25521114121062,8.0,64.25521114121062
한식밥상 건대점,X,[해장] 사골육개장,10900,한식,화양동,14931.95,51.09848345326632,8.0,59.09848345326632
오봉교집,X,제주산 백돼지 오겹살(160g),13000,한식,화양동,14931.95,60.943145402978175,8.0,68.94314540297817
밥풀릭스 건대점,X,직화 우삼겹 덮밥,11900,한식,화양동,14931.95,55.78641771503387,8.0,63.78641771503387
아침점심저녁 건대점,O,떡만둣국,10900,한식,화양동,14931.95,51.09848345326632,8.0,59.09848345326632
떡대 화양점,X,[[쫀득 밀 떡볶이]],5000,한식,화양동,14931.95,23.439671308837763,8.0,31.439671308837763
밀주 건대본점,X,편육초무침,9900,한식,화양동,14931.95,46.41054919149876,8.0,54.41054919149876
복잡할땐볶음밥 건대점,X,[[오픈기념]]가성비 최고 1인SET,14500,한식,자양동,14931.95,67.9750467956295,8.0,75.9750467956295
늘푸른식당,X,육개장-수요일,6000,한식,자양동,14931.95,28.12760557060531,8.0,36.12760557060531
나들이식당,O,삼겹살（1인）,13000,한식,자양동,14931.95,60.943145402978175,-30.0,30.94314540297817
종로식당,O,된장찌개,7000,한식,자양동,14931.95,32.81553983237286,8.0,40.81553983237286
고향맛집,O,백반,5000,한식,자양동,14931.95,23.439671308837763,8.0,31.439671308837763
시골댁,O,대구탕,10000,한식,자양동,14931.95,46.87934261767552,8.0,54.87934261767552
베테랑한식,X,차돌된장찌개,10000,한식,자양동,14931.95,46.87934261767552,8.0,54.87934261767552
가가호호비빔가,X,전주비빔밥,9000,한식,자양동,14931.95,42.19140835590796,8.0,50.19140835590796
고향지짐이 자양본점,X,닭똥집,13000,한식,자양동,14931.95,60.943145402978175,8.0,68.94314540297817
할머니쌈밥 광진점,X,할머니 1인쌈밥정식,12000,한식,자양동,14931.95,56.25521114121062,8.0,64.25521114121062
덮밥참잘하는집 자양점,X,[일한정수량25개]스테이크 덮밥+혈관보약 비트 유기농 레드비트 냉육수,11900,한식,자양동,14931.95,55.78641771503387,8.0,63.78641771503387
바로덮밥 건국대학교점,X,큐브스테이크덮밥,13900,한식,화양동,14931.95,65.16228623856897,8.0,73.16228623856897
지영이네포차,X,마파두부,13000,한식,자양동,14931.95,60.943145402978175,8.0,68.94314540297817
경성투가리,X,통삼겹 김치찜,12000,한식,자양동,14931.95,56.25521114121062,8.0,64.25521114121062
바른죽,X,한우소고기죽 650g+6찬(명태회무침+오징어젓갈+볶음김치+메추리알+씨앗젓갈+새우조림)+수제식혜(165ml),14800,한식,자양동,14931.95,69.38142707415976,8.0,77.38142707415976
