가게명,지역화폐,주메뉴,동,상세주소,평점,메뉴목록
올래상회,O,국수,중곡동,서울 광진구 능동로38길 28 1층,4.4,"고기국수(점심/저녁)(9,000원), 고기김치말이국수(여름한정)(점심/저녁)(10,000원), 비빔국수(점심/저녁)(9,000원), 고기국밥(점심/저녁)(9,000원), 제주토종순대(찹쌀)(점심)(8,000원), 돔베고기(2인기준)(점심)(28,000원), 몸국(11,000원)"
라도유황오리,O,오리,중곡동,서울 광진구 영화사로 57 1층,,"능이 오리 백숙(80,000원), 양념 오리 주물럭 (한마리)(60,000원), 양념 오리 주물럭 (반마리)(38,000원), 오리 훈제 (한마리)(55,000원), 한방 오리 주물럭 (한마리)(55,000원), 한방 오리 주물럭 (반마리)(35,000원), 간장 오리 주물럭 (한마리)(55,000원), 간장 오리 주물럭 (반마리)(35,000원), 반반주물럭 (한마리)(62,000원)"
여수낭만포차,O,한식,중곡동,서울 광진구 답십리로82길 18,3.3,"돌(문어)해물삼합(40,000원), 딱새우회 (2인)(20,000원), 모둠해산물 (2인)(20,000원), 육회낙지탕탕이 (2인)(20,000원), 낙지호롱이 (2인)(20,000원), 전복새우버터구이 (2인)(20,000원), 돌문어숙회 (2인)(20,000원), 꼼장어볶음 (2인)(20,000원), 가리비오뎅탕(40,000원)"
제부도,O,"해물,생선",중곡동,서울 광진구 긴고랑로 21 1층,4.6,"조개찜구이 대(58,000원), 가리비찜구이(35,000원), 전복찜구이(35,000원), 산문어(35,000원), 소라찜(27,000원), 감자전(15,000원), 연포탕(30,000원), 낙지초무침(28,000원), 탕탕이(25,000원), 산낙지(10,000원), 낙지볶음(23,000원), 문어해신탕(10,000원), 오리해신탕(80,000원), 토종닭해신탕(70,000원), 토종닭해물닭볶음탕(55,000원), 해물전복뚝배기(45,000원), 생우럭매운탕(28,000원), 조개탕(25,000원), 전복(15,000원)"
빛나는미나리식당,O,"육류,고기",중곡동,서울 광진구 능동로 360-1 1층,4.0,"흑돈삼합(45,000원), 한우삼합(53,000원), 쭈삼(구이,볶음)(33,000원), 흑돈냉삼(1인)(10,900원), 한우차돌(1인)(14,900원), 직화쭈꾸미 (2인이상)(11,900원), 관자(회,구이)(12,900원)"
소문난순대국,O,순대,중곡동,서울 광진구 면목로 141-1 1층,3.3,"순대국(8,000원), 순대국(특)(9,000원), 한우도가니탕(12,000원), 한우도가니탕(특)(15,000원)"
방이편백 육분삼십 군자점,O,"육류,고기",중곡동,서울 광진구 능동로37길 10-3 1층,3.4,"소고기 편백찜(12,000원), 돼지샤브샤브(14,000원), 오징어무침회(10,000원), 간장새우장(10,000원), 볶음우동(9,000원), 소고기덮밥(7,500원), 매콤쫄면(6,000원), 김치찌개(6,000원), 된장찌개(6,000원), 등심 샤브샤브(15,000원), 프리미엄 이베리코 돼지 편백찜(20,000원)"
동해안이야기,O,회,중곡동,서울 광진구 면목로 167 1층,4.3,"모둠숙성회(39,000원), 전복물회(22,000원), 연어초밥(24,000원), 새우초밥(12,000원), 멍게(20,000원), 갑오징어 숙회(25,000원), 산낙지(25,000원), 맛보기 숙성회(18,000원), 맛보기 초밥(10,000원), 맛보기 연어초밥(12,000원), 맛보기 새우초밥(6,000원)"
고공 중곡점,O,"육류,고기",중곡동,서울 광진구 긴고랑로 63 1층,4.5,"특목살(17,000원), 미삼겹(17,000원), 토시살(20,000원), 본갈비(22,000원), 치마육회(20,000원)"
광어2마리15000원,O,회,중곡동,서울 광진구 긴고랑로13길 10,4.3,"광어(소)(15,000원), 과메기(15,000원), 도다리(소)(22,000원), 조개탕(13,000원), 연어초밥(9,900원)"
미가유황오리,O,오리,중곡동,서울 광진구 동일로76길 63,4.0,"오리주물럭(한마리)(56,000원), 양념주물럭(한마라)(60,000원), 훈제오리(한마리)(62,000원), 훈제오리(반마리)(36,000원), 모듬주물럭(60,000원)"
가마솥영양탕,O,"사철탕,영양탕",중곡동,서울 광진구 긴고랑로22길 32 1층,4.9,"삼계탕(13,000원), 옻삼계탕(15,000원), 옻백숙(65,000원), 보신 수육(22,000원), 보신 무침(22,000원), 보신 전골(20,000원), 보신탕 (대)(15,000원), 흑염소 수육(23,000원), 흑염소 무침(23,000원), 흑염소전골(23,000원), 흑염소탕(대)(15,000원)"
호강불백 군자역점,O,한식,중곡동,서울 광진구 능동로 324-1,5.0,"참숯 석쇠 불고기 세트(11,000원), 순창고추장 불고기 세트(13,000원), 바지락탕 (조개탕)(9,900원), 속초식 숯불오징어구이(10,900원), 현수네 고추튀김 (5개)(9,900원), 전주식 고추장육회(12,900원), 편육반 명태회무침반(9,900원), 고기한판+바지락탕(29,900원)"
부둣가,O,회,중곡동,서울 광진구 면목로 62 1층,4.4,"도미(53,000원), 농어(53,000원), 광어(28,000원), 우럭(28,000원), 광어＋우럭(38,000원), 강도다리 세꼬시(32,000원), 모듬회(53,000원), 광어물회＋사리（개불,멍게）(35,000원), 세꼬시물회＋사리（개불,멍게）(45,000원), 광어무침＋사리(35,000원), 세꼬시무침＋사리(45,000원), 문어숙회(40,000원), 문어초무침(45,000원), 멍게(15,000원), 개불(15,000원), 매운탕(5,000원), 공기밥(1,000원), 참이슬 후레쉬(4,000원), 처음처럼(4,000원), 카스(4,000원)"
거시기대구뽈찜,O,아구,중곡동,서울 광진구 답십리로 364 1층 102호,4.8,"뽈지리탕 (소)(26,000원), 뽈찜 (소)(29,000원), 아구찜 (소)(35,000원), 쭈꾸미볶음 (2인)(24,000원), 뽈지리탕 (2인)(18,000원)"
전주콩나물국밥,O,국밥,중곡동,서울 광진구 면목로 158,5.0,"콩나물국밥(6,000원), 콩나물 따로 국밥(6,500원), 콩나물 황태해장국(8,000원), 굴매생이(9,000원), 육개장(8,000원)"
속리산흑염소,O,"사철탕,영양탕",중곡동,서울 광진구 용마산로4길 16,5.0,"흑염소 곰탕(18,000원), 흑염소탕(18,000원), 수육 (1인분)(38,000원), 전골 (1인분)(36,000원), 무침 (1인분)(36,000원)"
능동숯불갈비,O,한식,중곡동,서울 광진구 면목로 55 1층,3.7,"돼지갈비(15,000원), 생삼겹살(15,000원), 소불고기전골(17,000원), 제육볶음(9,000원), 부대찌개(8,000원), 김치찌개(8,000원)"
솥뚜껑삼겹살,O,삼겹살,중곡동,서울 광진구 영화사로 38 청기와월드타운 1층 105호,4.6,"차돌박이 (200g)(20,000원), 생삼겹살 (200g)(12,000원), 생목살 (200g)(12,000원), 생항정살 (200g)(13,000원), 매운갈비찜 (뚝배기) (점심메뉴)(7,000원)"
민지네감자탕해장국,O,감자탕,중곡동,서울 광진구 긴고랑로 89 1층,4.1,"곱창전골(32,000원), 감자탕（고기 부들 끝판왕~）(31,000원), 양선지해장국（최강 부들부들 선지）(12,000원), 뼈해장국（고기 부들 끝판왕~）(11,500원), 선지해장국（최강 부들부들 선지）(10,000원), 수제돈까스(11,000원), 공기밥(1,000원), 사이다 355mL(2,000원), 코카콜라 355mL(2,000원), 깍두기(1,500원), 참이슬 후레쉬(4,000원), 참이슬 오리지널(4,000원), 처음처럼(4,000원), 카스(4,000원)"
곰곰탕,O,곰탕,중곡동,서울 광진구 용마산로 128 원방빌딩 1층,4.6,"곰곰탕(8,500원), 비빔국수(9,000원), 1인 제육무침(5,000원), 홍곰탕(9,000원), 곰탕세트(13,000원), 비빔국수세트(12,500원), 곰탕만두세트(12,000원)"
송영옥진주육전냉면,O,냉면,중곡동,서울 광진구 능동로47길 4,3.0,"육전물냉면(7,000원), 육전비빔냉면(8,000원), 육전물비빔냉면(8,000원), 육전회비빔냉면(9,000원), 육전(15,000원), 명태회무침(15,000원), 전병(6,000원), 고기만두(5,000원), 김치만두(5,000원)"
하나양곱창,O,"곱창,막창",중곡동,서울 광진구 능동로38길 10 1층,4.9,"한우 모듬(27,900원), 한우 곱창(25,900원), 한우 대창(24,900원), 한우 막창(25,900원), 한우 염통(15,900원), 한우 곱창전골(中)(38,000원)"
고기검객,O,"육류,고기",중곡동,서울 광진구 영화사로 40 1층,4.5,"스테이크양념(200g)(12,000원), 돼지왕갈비(300g)(13,000원), 삼겹살(200g)(12,000원), 갈비살(200g)(18,000원), 한우육회(200g)(20,000원)"
진우식당,O,한식,중곡동,서울 광진구 용마산로 178 1층,4.6,"된장찌개(9,000원), 김치찌개(9,000원), 부대찌개(9,000원), 동태찌개(2인이상)(9,000원), 갈비탕(9,000원), 내장탕(9,000원), 순두부(9,000원), 백반(8,000원)"
아제로스구이,O,"육류,고기",중곡동,서울 광진구 영화사로 59-1 1층,5.0,"생갈비살모듬 한접시(36,000원), 생소갈비살모듬 반접시(19,000원), 양념갈비살모듬 (한접시)(38,000원), 양념갈비살 모듬 (반접시)(20,000원), 된장찌개(5,000원), 육사시미(100g)(13,000원), 소고기라면(5,000원)"
왕도매회어시장,O,회,중곡동,서울 광진구 능동로47길 17,4.4,"광어 (중)(35,000원), 우럭 (1kg)(45,000원), 도미 (1kg)(58,000원), 전복(30,000원), 도다리 (중)(40,000원), 연어(35,000원), 멍게(15,000원), 산낙지(20,000원), 해삼(20,000원), 초밥(15,000원), 물회( 2인)(35,000원), 오징어(변동가격), 돌멍게(30,000원), 활 우럭탕 (중)(3,010원)"
