가게명,지역화폐,주메뉴,동,상세주소,평점,메뉴목록
청년감자탕순대국 중곡역점,O,감자탕,중곡동,서울 광진구 능동로 389 1층,0.0,"뼈해장국(공기밥 포함)(10,000원), 순살뼈해장국(공기밥 포함)(11,000원), 묵은지해장국(공기밥 포함)(11,000원), 청년 순대국밥(공기밥 포함)(10,000원), 모둠순대국밥(공기밥포함)(11,000원), [주문1위]청년감자탕(공기밥 미포함)(30,000원), 묵은지 감자탕(공기밥 미포함)(34,000원), 실속감자탕(공기밥 미포함)(19,000원), 찰순대(6,000원), 고기왕만두(5,000원), 갈비만두(5,000원), 깍두기볶음밥(3,000원), 공기밥(1,500원), 우거지추가(3,000원), 감자사리(2,000원), 라면사리(2,000원), 당면사리(2,000원), 감자수제비(2,000원), 펩시콜라 캔 355mL(2,000원), 칠성사이다 캔 355mL(2,000원), 탐스오렌지 제로 캔 355mL(2,000원), 탐스파인 캔 355mL(2,000원)"
신성소머리수구레전문,O,한식,중곡동,서울 광진구 용마산로6길 13,0.0,"한우수구레전골 (소)(40,000원), 한우수구레초무침(25,000원), 한우소머리수육(35,000원), 한우소머리내장탕(2인)(35,000원), 한우양볶음(20,000원), 한우허파볶음(15,000원), 한우소머리국밥(10,000원), 한우수구레국밥(15,000원), 명태회냉면 (계절메뉴)(10,000원), 콩국수 (계절메뉴)(9,000원)"
소문난집,O,한식,중곡동,서울 광진구 답십리로 368,5.0,"순대국밥(9,000원), (순대만)(9,000원), (순대+내장)(10,000원), (순대+살로만)(10,000원), 내장탕(11,000원), 돼지국밥(9,000원), (국수사리+살로만)(10,000원), 살로만(11,000원), 술국뚝배기(16,000원), 전골(1인)(2인이상)(18,000원), 수육(19,000원), 편육(14,000원), 오소리감투(19,000원), 내장모듬(14,000원), 모듬(순대+내장+머리고기)(22,000원), 순대(7,000원)"
일품해물칼국수,O,칼국수,중곡동,서울 광진구 긴고랑로 128-1,4.0,"낙지 덮밥(7,000원), 제육 덮밥(6,000원), 해물 칼국수(7,000원), 떡만두국(6,000원), 찐만두(5,000원)"
황금식당,O,한식,중곡동,서울 광진구 긴고랑로 78 1층,4.0,"꽁치김치찌개(9,000원), 비지찌개(9,000원), 부대찌개（라면사리 제공）(19,900원), 김치전(10,000원), 김치찌개(9,000원), 동태찌개(9,500원), 우렁된장찌개(9,000원), 제육볶음(10,900원), 제육볶음1＋오징어볶음1(23,800원), 생오겹살두루치기（1人 200g）(17,000원), 두부전(8,000원), 계란말이(9,000원), 오징어볶음（2人）(26,800원), 오징어볶음（1人）(13,900원), 조기매운탕（2人）(21,000원), 조기매운탕（1人）(11,000원), 조기구이(13,000원), 국내산생오겹살（1人 200g）2인분 이상(34,000원), 골뱅이무침(18,000원), 두부김치(18,000원), 닭도리탕（3~4인용）(30,000원), 콜라 355mL(2,000원), 사이다 355mL(2,000원)"
오뎅스마일,O,한식,중곡동,서울 광진구 긴고랑로13길 5,5.0,"기본오뎅세트(18,000원), 꼬불이맛도리오뎅(2,500원), 꼬불이매콤오뎅(2,500원), 트러플치즈오뎅(3,000원), 우엉오뎅(2,500원), 미니찌꾸와오뎅(3,000원), 아게오뎅(3,000원), 사츠마아게(3,000원), 물떡(2,000원), 곤약(2,000원), 돼지삼겹살(12,000원), 돼지목살(3,000원), 닭껍질(3,000원), 하쯔(3,000원), 모모니쿠(3,000원), 닭연골(3,000원), 당고(3,000원), 통가래꼬치(3,000원), 치킨가라아게(15,000원), 문어가라아게(15,000원), 반건조오징어+맛도리쥐포(15,000원), 라구포테이토(9,000원), 크림치즈바게트(9,000원), 불닭아란치니(8,000원), 만두강정(8,000원), 새우후라이튀김(8,000원), 이까링튀김(5,000원), 연근튀김(5,000원)"
대원부대찌개,O,"찌개,전골",중곡동,서울 광진구 용마산로 107 1층,4.2,"부대찌개(9,000원), 김치전골(9,000원), 육개장(8,000원), 제육볶음 (소)(18,000원), 순두부찌개(8,000원), 김치찌개(8,000원), 된장찌개(8,000원)"
착한코다리,O,한식,중곡동,서울 광진구 천호대로129길 47-1,5.0,"코다리조림(대)(40,000원), 코다리조림(중)(30,000원), 코다리조림(소)(20,000원), 시레기코다리조림(대)(43,000원), 시레기코다리조림(중)(33,000원)"
아차산닭발,O,닭요리,중곡동,서울 광진구 천호대로127길 19 1층,,"뼈닭발(10p)(9,500원), 무뼈닭발(2인분)(20,000원), 닭날개(4p)(9,500원), 국물 많은 계란찜(4,000원), 날치알 주먹밥(4,500원), 얼큰이 라면(5,000원), 아이스 깐포도(9,000원), 떡볶이(2인)(9,000원), 생맥주(500cc)(4,000원), 쿨피스/콜라/사이다(2,000원), 어묵탕(10,000원), (포장)생맥주1000cc(8,000원), 소스추가(500원), 달콤한 콘버터(4,500원), 소주(4,500원), 병맥주(4,500원)"
명가오리주물럭,O,오리,중곡동,서울 광진구 답십리로 378,0.0,"생오리주물럭 (한마리)(52,000원), 생오리양념주물럭 (한마리)(55,000원), 반반주물럭 (생오리+양념)(55,000원), 오리훈제 (한마리)(60,000원)"
남원댁추어탕,O,추어,중곡동,서울 광진구 영화사로 38 1층 106호,5.0,"추어탕(8,000원), 추어튀김(10,000원), 통추어탕(10,000원), 인삼추어탕(10,000원), 전복추어탕(15,000원)"
제주바다,O,"해물,생선",중곡동,서울 광진구 천호대로111길 10,0.0,
참진한설렁탕,O,설렁탕,중곡동,서울 광진구 긴고랑로 22-1 1층,0.0,"설렁탕(10,000원), 갈비탕(11,000원), 도가니탕(16,000원), 무교동낙지(10,000원), 보리밥(9,000원), 물/비냉면(10,000원), 왕고기만두(5개)(6,000원), 모듬수육(35,000원), 수육(25,000원), 갈비전골(38,000원), 오징어볶음(18,000원), 무교동낙지(안주)(25,000원)"
가마골순대국,O,순대,중곡동,서울 광진구 영화사로 29-1 1층,5.0,"순대있는국밥(8,000원), 순대없는국밥(8,000원), 내장순대국(9,000원), 항아리전골(소)(2인)(25,000원), 모듬순대(2인)(15,000원), 술국(중)(2인)(20,000원), 야채순대(중)(8,000원), 순대만국밥(8,000원), 살고기만국밥(9,000원), 야채순대(대)(2인)(15,000원), 항아리전골(중)(3인)(30,000원), 항아리전골(대)(4인~)(35,000원), 술국(대)(3~4인)(27,000원)"
명동홍두깨칼국수,O,칼국수,중곡동,"서울 광진구 긴고랑로11길 11 제일시장 1층 21,24,31,35,39호",4.8,"콩국수(6,000원), 칼국수(4,500원), 감자만두(3,000원), 들깨칼국수(7,000원)"
엄나무누룽지백숙,O,닭요리,중곡동,서울 광진구 면목로 79,4.0,
빨간감자탕,O,감자탕,중곡동,서울 광진구 자양로43길 116,5.0,
디딤돌식당,O,한식,중곡동,서울 광진구 긴고랑로13길 19-1 1층,5.0,"백반(8,000원)"
등자감,O,감자탕,중곡동,서울 광진구 능동로 376 1층,3.0,"뼈해장국(7,000원), 우거지탕(7,000원), 감자탕(소)(25,000원), 간장뼈찜(소)(27,000원), 매운등갈비(소)(27,000원)"
창신동매운족발,O,한식,중곡동,서울 광진구 긴고랑로 22,0.0,
왕솥뚜껑삼겹살,O,삼겹살,중곡동,서울 광진구 능동로47길 7 1층,4.8,"삼겹살(200g)(15,000원), 목살(200g)(15,000원), 항정살(200g)(17,000원), 비빔냉면(6,000원), 열무냉면(여름메뉴)(7,000원)"
어사랑,O,회,중곡동,서울 광진구 능동로47길 30,5.0,
땅스부대찌개 제일시장점,O,"찌개,전골",중곡동,서울 광진구 긴고랑로9길 20 1층 93호,3.2,"가득햄 부대찌개 3인분(비조리)(18,500원), 땅스부대찌개 + 햇반 추가(비조리)(16,900원), 부대찌개 일회용냄비 세트(비조리)(17,100원), 깡통햄 부대찌개 + 깡통햄 추가(비조리)(20,900원), [땅스1등조합]가성비 땅스세트(비조리)(29,300원), 부대찌개 캠핑 세트(비조리)(25,650원), 오리지널 부대찌개 3인분(비조리)(14,900원), 옹심이 만두전골 부대세트(비조리)(19,500원), 부대찌개 주먹밥 세트(비조리)(16,400원), 떡볶이 일회용냄비 세트(비조리)(15,100원), 깡통햄 부대찌개 3인분(비조리)(17,900원), 모둠 부대찌개 3인분(비조리)(20,900원), 십센치 부대찌개 3인분(비조리)(18,900원), 토마토 부대찌개 3인분(비조리)(18,900원), 베이컨 부대찌개 3인분(비조리)(17,900원), 왕만두 부대찌개 3인분(비조리)(17,000원), 치즈 부대찌개 3인분(비조리)(16,000원), 떡볶이 주먹밥 세트(비조리)(14,400원), 땅스즉석떡볶이 + 튀김추가(비조리)(15,400원), 오리지널 국물떡볶이 + 어묵추가(비조리)(14,400원), 오리지널 국물떡볶이 + 누들밀떡추가(비조리)(14,400원), 부대 떡볶이 3인분(비조리)(16,900원), 김치피자 떡볶이 3인분(비조리)(18,900원), 로제 떡볶이 3인분(비조리)(16,900원), 치즈 떡볶이 3인분(비조리)(14,900원), 한입만두 떡볶이 3인분(비조리)(14,900원), 쫄볶이 3인분(비조리)(13,900원), 오리지널 국물떡볶이 3인분(비조리)(12,900원), 참치마요 주먹밥(1,500원), 간장버터치즈 주먹밥(1,500원)"
닭발,O,닭요리,중곡동,서울 광진구 긴고랑로22길 9 1층,0.0,"직화 통뼈닭발(19,500원), 통뼈 국물 닭발(19,500원), 직화 무뼈 닭발(21,500원), 닭목살 볶음(19,500원), 직화 윙&봉(19,500원), 직화 닭갈비 볶음(15,900원), 순살 붉닭구이(18,000원), 닭볶음탕(23,500원), 무뼈닭발 묵은지찜(25,500원), 닭꼬치(4,000원), 모듬 꼬치세트(15,000원), 닭똥집(12,000원), 계란말이(10,000원), 계란찜(3,000원), 주먹밥(4,000원), 공기밥(1,000원), 호로록 떡볶이(13,000원), 칠성사이다 355mL(2,000원), 코카콜라 355mL(2,000원), 환타오렌지 355mL(2,000원), 참이슬 후레쉬(5,000원), 참이슬 오리지널(5,000원), 처음처럼(5,000원), 진로 이즈백(5,000원), 테라(5,000원), 카스(5,000원)"
온가솥밥 중곡점,O,한식,중곡동,서울 광진구 면목로 172,0.0,
형제식당,O,한식,중곡동,서울 광진구 면목로 113-1,1.0,"오리백숙(60,000원), 토종닭도리탕(50,000원), 닭도리탕(35,000원), 삼겹살 (1인분)(15,000원), 제육볶음(10,000원), 동태찌개(20,000원), 조기찌개(20,000원), 오징어볶음(20,000원), 갈치조림(20,000원), 코다리찜(20,000원), 닭발(15,000원), 김치찌개(8,000원), 된장찌개(8,000원), 청국장(8,000원), 갈치조림 (2인이상)(10,000원), 조기찌개 (2인이상)(10,000원), 고등어조림 (2인이상)(10,000원), 동태찌개 (2인이상)(10,000원), 백반(8,000원)"
행복밥상,O,한식,중곡동,서울 광진구 면목로 62,5.0,
주식회사민물장어전문점,O,한식,중곡동,서울 광진구 긴고랑로 93,0.0,
옛날누룽지,O,한식,중곡동,서울 광진구 자양로43길 151 1층,5.0,"누룽지(13,000원)"
돼끼리삼겹이랑갈비,O,갈비,중곡동,서울 광진구 면목로 152-1,0.0,"돼지갈비(1인)(13,000원), 생삼겹살(1인)(13,000원), 생목살(1인)(13,000원), 차돌박이(1인)(15,000원), 소갈비살(1인)(16,000원)"
솥뚜껑삼겹살,O,삼겹살,중곡동,서울 광진구 능동로47길 7,0.0,
가정식백반,O,한식,중곡동,서울 광진구 긴고랑로36길 25,4.0,
마실,O,한식,중곡동,서울 광진구 천호대로127길 19,0.0,
원조제일홍어무침,O,"해물,생선",중곡동,서울 광진구 능동로47길 15-1 1층,5.0,"홍어무침 600g(12,500원)"
대성식당,O,한식,중곡동,서울 광진구 긴고랑로 8,0.0,
셀프1000년장어촌,O,한식,중곡동,서울 광진구 긴고랑로 42,0.0,
강나루식당,O,한식,중곡동,서울 광진구 면목로 94,0.0,
친구네,O,한식,중곡동,서울 광진구 영화사로 5-6,5.0,
맛깔식당,O,한식,중곡동,서울 광진구 긴고랑로29길 48 1층,3.0,"콩국수(7,000원), 떡만두(7,000원), 오늘의메뉴(7,000원), 순두부찌개(7,500원), 된장찌개(7,500원), 청국장찌개(7,500원), 야채비빔밥(7,500원), 김치찌개(8,000원), 콩비지찌개(8,000원), 참치찌개(8,000원), 부대찌개(8,500원), 오징어볶음(10,000원), 동태찌개(8,500원), 돌솥비빔밥(8,500원), 제육볶음(8,500원), 육개장(9,500원)"
쪽갈비에미치닭,O,"육류,고기",중곡동,서울 광진구 능동로48길 35 1층,0.0,
영동손칼국수,O,칼국수,중곡동,서울 광진구 긴고랑로36길 25,0.0,
대성식당,O,한식,중곡동,서울 광진구 면목로11길 4,5.0,
오목대,O,한식,중곡동,서울 광진구 동일로80길 23 1층,4.0,"삼계탕(14,000원), 냉면(7,000원)"
바지락칼국수,O,칼국수,중곡동,서울 광진구 능동로47길 15-1,0.0,
엄마밥상,O,한식,중곡동,서울 광진구 면목로 132-1 1층,0.0,"라면(4,000원), 떡라면(5,000원), 치즈라면(5,000원), 순두부찌개(8,000원), 된장찌개(8,000원), 김치찌개(8,000원), 얼큰수제비(7,000원), 제육볶음(9,000원), 육개장(9,000원), 오징어덮밥(9,000원), 청국장(8,000원), 라볶이(5,000원), 공기밥(1,000원), 두부김치(13,000원), 계란말이(10,000원)"
방앗간컴퍼니,O,한식,중곡동,서울 광진구 긴고랑로7길 5 1층,0.0,
시굴청국장,O,한식,중곡동,서울 광진구 용마산로2길 5,0.0,
한솔식당,O,한식,중곡동,서울 광진구 능동로44길 42,4.0,
무진,O,한식,중곡동,서울 광진구 용마산로 190,0.0,
전주식당,O,한식,중곡동,서울 광진구 동일로68길 14,3.5,
시골밥상,O,한식,중곡동,서울 광진구 동일로64길 43,0.0,
전주식당,O,한식,중곡동,서울 광진구 답십리로78길 25,3.8,
정희네,O,한식,중곡동,서울 광진구 답십리로 400,0.0,
고트(GOAT)부대찌개,O,"찌개,전골",중곡동,서울 광진구 천호대로 531-1,1.0,
간단한상,O,한식,중곡동,서울 광진구 능동로 382,0.0,
청년숯불갈비,O,갈비,중곡동,서울 광진구 긴고랑로 25 1층,0.0,"숙성돼지갈비(250g)(11,000원), 숙성생삼겹살(200g)(11,000원)"
미식가,O,한식,중곡동,서울 광진구 답십리로78길 23,0.0,
우리동네한우소머리국밥,O,한식,중곡동,서울 광진구 능동로47길 42,0.0,
소문난맛집,O,"해물,생선",중곡동,서울 광진구 긴고랑로11길 26,0.0,
한방족발,O,한식,중곡동,서울 광진구 긴고랑로9길 25,0.0,
동네식당,O,한식,중곡동,서울 광진구 긴고랑로36길 18,5.0,
돈타령,O,"육류,고기",중곡동,서울 광진구 긴고랑로 50,0.0,
이사장푸드,O,한식,중곡동,서울 광진구 용마산로3길 38 1층,0.0,
소문난식당,O,한식,중곡동,서울 광진구 긴고랑로11길 26,0.0,
김씨네바베큐,O,"육류,고기",중곡동,서울 광진구 답십리로78길 3 1층,0.0,"통바베큐치킨 두마리 Set(30,000원), 김씨네 바베큐 Set(37,000원), [가성비 푸짐한 구성의] 통바베큐치킨(16,500원), 삼겹바베큐구이+파채무침 (술안주 강력추천)(23,000원), 얼큰번데기탕(8,000원), 음료(6,000원), [번데기 Set1] 얼큰번데기탕+통바베큐치킨(23,000원), [번데기 Set2] 얼큰번데기탕+삼겹바베큐구이+파채무침(30,000원), [번데기 Set3] 얼큰번데기탕+김씨네 바베큐 Set(43,000원), 푸짐한 패밀리 부대찌개(24,000원), 공기밥(1,000원), 코카콜라 355mL(2,000원), 칠성사이다 355mL(2,000원), 참이슬후레쉬 360mL(5,000원), 처음처럼 360mL(5,000원), 진로 360mL(5,000원), 생맥주 1000cc(8,000원)"
코코,O,한식,중곡동,서울 광진구 면목로 88,0.0,
복돼지,O,"육류,고기",중곡동,서울 광진구 면목로 141,0.0,
푸드몽,O,한식,중곡동,서울 광진구 능동로48길 34,0.0,
장흥식당,O,한식,중곡동,서울 광진구 천호대로105길 8,0.0,
일품찜닭,O,닭요리,중곡동,서울 광진구 영화사로 33,4.0,
지현이네,O,한식,중곡동,서울 광진구 능동로 441,0.0,
닭발,O,한식,중곡동,서울 광진구 능동로49길 19,0.0,
군자산책,O,한식,중곡동,서울 광진구 능동로44길 41,0.0,
자매식당,O,한식,중곡동,서울 광진구 긴고랑로13길 7,0.0,
비너스,O,한식,중곡동,서울 광진구 면목로 97,0.0,
살랑살랑,O,한식,중곡동,서울 광진구 능동로44길 42,0.0,
치악산식당,O,한식,중곡동,서울 광진구 동일로66길 7,0.0,
참치즈불닭꼬치,O,닭요리,중곡동,서울 광진구 능동로47길 30 중곡제일시장 1층 68호,0.0,"닭꼬치(30cm)대리야끼(4,000원), 파닭꼬치(30cm)(4,000원), 순살꼬치(30cm)(4,000원), 버터구이오징어 (다리)(10,000원), 버터구이오징어 (몸통)(10,000원), 회오리감자(3,000원), 데리야끼 닭꼬치(30cm)(4,000원), 즉석버터구이(10,000원), 소떡소떡(3,000원), 옛날핫도그3000(3,000원)"
백반집,O,한식,중곡동,서울 광진구 면목로 113,0.0,
정가네,O,한식,중곡동,서울 광진구 동일로80길 25,0.0,
생고기,O,"육류,고기",중곡동,서울 광진구 면목로 195,0.0,
팔도부침나라,O,한식,중곡동,서울 광진구 능동로47길 42,0.0,"해물파전(23,000원), 모듬전(15,000원), 홍어전(25,000원), 감자전(14,000원), 녹두전(13,000원), 김치전(12,000원), 부추전(12,000원), 두부전(12,000원), 오징어데침(20,000원), 오징어 무침 （소면）(25,000원), 두부김치(25,000원), 도토리묵(14,000원), 삭힌홍어(28,000원), 골뱅이소면(28,000원), 공기밥(2,000원), 콜라 355mL(2,000원), 사이다 355mL(2,000원)"
호화퓨전,O,한식,중곡동,서울 광진구 용마산로22길 13,0.0,
산해진미,O,한식,중곡동,서울 광진구 영화사로 5-6,0.0,
여정,O,한식,중곡동,서울 광진구 답십리로 400-1,0.0,
청산칡냉면,O,한식,중곡동,서울 광진구 용마산로 24-1,0.0,
옛날집,O,한식,중곡동,서울 광진구 면목로17길 40,0.0,
전주식당,O,한식,중곡동,서울 광진구 용마산로4길 16,4.0,
오리바베큐,O,오리,중곡동,서울 광진구 긴고랑로9길 11 1층,0.0,
뜨닭,O,한식,중곡동,서울 광진구 면목로 111,0.0,
차칸쿡,O,한식,중곡동,서울 광진구 긴고랑로9길 24,0.0,
디딤돌식당,O,한식,중곡동,서울 광진구 긴고랑로36길 24,0.0,
천양운집,O,한식,중곡동,서울 광진구 면목로 187,0.0,
미락,O,"육류,고기",중곡동,서울 광진구 면목로 169,0.0,
전주한식뷔페,O,한식뷔페,중곡동,서울 광진구 동일로62길 7 1층,5.0,
둥지,O,한식,중곡동,서울 광진구 영화사로 57,0.0,
원부자식품,O,한식,중곡동,서울 광진구 능동로47길 21,0.0,
비케이에프,O,한식,중곡동,서울 광진구 긴고랑로 63,0.0,
고기자식당,O,한식,중곡동,서울 광진구 면목로 195 1층,5.0,
에스앤엘,O,한식,중곡동,서울 광진구 면목로7길 25 세광빌딩 1층,0.0,
사랑,O,한식,중곡동,서울 광진구 면목로 99,0.0,
공감,O,한식,중곡동,서울 광진구 동일로62길 47,0.0,
광장동가온,O,국수,광장동,서울 광진구 아차산로78길 75 현대골든텔2차 106호,3.0,"초계메밀국수(15,000원), 가온 곰국시(14,000원), 모듬 보쌈(62,000원), 오징어 순대(20,000원), 고기/김치 손만두(10,000원), 바싹불고기(18,000원), 수육정식(45,000원), 보쌈정식(39,000원), 만두국(14,000원), 모듬전(45,000원), 보쌈(중)(48,000원), 육전(35,000원)"
콩예원,O,한정식,광장동,서울 광진구 아차산로78길 75,4.0,"두루치기(20,000원), 청국장 정식(13,000원), 쌈정식(36,000원), 수육정식(36,000원), 떡갈비정식(17,000원), 묵밥(11,000원), 감자전(11,000원), 해물파전(19,000원), 떡갈비(18,000원), 두부김치(20,000원), 수육보쌈(32,000원), 도토리묵(11,000원), 코카콜라 캔（355mL）(2,000원), 스프라이트 캔（355mL）(2,000원)"
서울편백찜 광장점,O,"육류,고기",광장동,서울 광진구 광장로 83 1층,3.8,"（단품）소고기 편백찜(24,000원), （단품）새우 소고기 편백찜(28,000원), （단품）모둠버섯 편백찜(28,000원), 오징어 초무침(8,000원), 간장 새우밥(7,000원), 간장 낙지밥(7,000원), （Best）소고기 편백찜＋오징어초무침 세트(31,000원), 소고기 덮밥(8,000원), 소고기 전골(9,000원), 차돌된장찌개(8,000원), 새우소고기 편백찜＋오징어초무침 세트(35,000원), 모둠버섯 편백찜＋오징어초무침 세트(35,000원), 묵은지 어묵탕(8,000원)"
어울림,O,"해물,생선",광장동,서울 광진구 광장로1나길 10 1층,,"매생이굴국밥(8,000원), 매생이굴칼국수(7,000원), 해물된장찌개(7,000원), 해물칼국수(7,000원), 동태탕(2인기준)(16,000원)"
태천면옥,O,냉면,광장동,서울 광진구 광장로 49 1층,4.1,"온반(동절기메뉴(10월~2월))(11,000원), 온면(동절기메뉴(10월~3월))(12,000원), 거냉(동절기메뉴(10월~3월))(12,000원), 평양냉면(12,000원), 비빔냉면(12,000원), 손만두(한접시)(11,000원), 손만두(반접시)(6,000원), 만두국(11,000원), 수육(한우)(31,000원), 제육(한돈)(한접시)(22,000원), 제육(한돈)(반접시)(13,000원)"
옛집,O,한식,광장동,서울 광진구 아차산로76가길 18,3.0,"돼지찌개(10,000원), 제육볶음(11,000원), 김치생삼겹살 (180g)(16,000원)"
은행나무집,O,닭요리,광장동,서울 광진구 아차산로69길 20,4.4,"나노오리한방(능이) 누룽지백숙(68,000원), 나노오리한방 누룽지백숙(58,000원), 나노토종닭(능이) 한방누룽지백숙(63,000원), 나노토종닭 한방누룽지백숙(58,000원), 토종닭도리탕(53,000원), 토종닭도리탕(묵은지)(58,000원), 생삼겹살(150g)(15,000원), 오리주물럭(고추장양념)(44,000원), 오리주물럭(1마리)(39,000원), 뚝배기불고기(10,000원), 버섯육개장(9,000원), 돌솥비빔밥(9,000원), 얼큰동태찌개(9,000원), 청국장(8,000원), 항아리수제비(8,000원), 시골된장찌개(7,000원), 비빔국수(7,000원), 잔치국수(6,000원)"
날일달월,O,한식,광장동,서울 광진구 아차산로78길 7 유진스웰비 202호,4.3,"생채식진지 점심(18,000원), 생채식진지 저녁(28,000원), 미역콩국수(15,000원), 오행현미죽(15,000원), 비빔라면(계절)(15,000원), 두부김치(20,000원), 닭가슴살 샐러드(20,000원), 오늘의 안주(30,000원), 계절음료(5,000원), 아티커피(5,000원), 쥐눈이콩물(5,500원), 착즙음료(7,500원), 효소음료(7,500원), 달달한간식(5,000원), 단품샐러드(8,000원), 단품샌드위치(6,500원), 날일달월 아정(7,000원), 날남새밥(15,000원), 현미죽진지(13,000원)"
맛좋은집,O,삼계탕,광장동,서울 광진구 천호대로143길 8-8 1층,3.9,"유황마늘녹두오리(75,000원), 유황마늘능이오리(78,000원), 유황마늘옻오리(78,000원), 토종마늘녹두백숙(75,000원), 토종마늘능이백숙(78,000원), 토종닭볶음탕(소)(30,000원)"
중일가든,O,"육류,고기",광장동,서울 광진구 아차산로76가길 4 1층,3.3,"한우우설 (100g)(25,000원), 한우안창살 (130g)(75,000원), 한우등심 (130g)(55,000원), 한우양념갈비 (240g)(45,000원), 한우갈비살 (130g)(48,000원), 한우육회 (150g)(33,000원), 한우차돌박이 (130g)(35,000원), 불고기 (250g)(20,000원), 곱창전골(20,000원), 흑돼지오겹살 (160g)(20,000원), 돼지갈비 (240g)(20,000원)"
산울,O,한식,광장동,서울 광진구 아차산로73길 48 2층,4.5,"곤드레정식(12,000원), 산울불고기(1판)(17,000원), 부추전(12,000원), 산울만두(8,000원), 간장게장정식(34,000원)"
명가순대국,O,순대,광장동,서울 광진구 광나루로 621 1층,3.9,"순대국(9,000원), 순대 야채곱창(29,000원), 술국(19,000원), 머리고기수육(20,000원)"
콩마당,O,두부전문점,광장동,서울 광진구 아차산로73길 33 1층,4.1,"삼합(49,000원), 소고기두부전골(중)(33,000원), 해물파전(16,000원), 두부스테이크(10,000원), 콩비지(8,000원)"
광오지마을,O,"육류,고기",광장동,서울 광진구 아차산로73길 28 1층,3.1,"보쌈(중)(40,000원), 소고기특수부위(200g)(48,000원), 생삼겹살(200g)(17,000원), 오리생구이(45,000원), 보리밥(8,000원), 제육볶음(9,000원)"
순천만갯벌낙지,O,"해물,생선",광장동,서울 광진구 천호대로143길 8-7 1층,5.0,"연포당(50,000원), 마른연포(40,000원), 낙지초무침(40,000원), 산낙지회(25,000원), 산우럭탕(30,000원)"
광장수제갈비,O,갈비,광장동,서울 광진구 아차산로 612 2층 201호,5.0,"수제양념갈비 300그램(17,000원), 솔더랙 100그램(9,500원)"
신선설농탕 광나루역점,O,설렁탕,광장동,서울 광진구 천호대로 813 1층,3.5,"설농탕(11,000원), 고기듬뿍설농탕(20,000원), 떡국설농탕(13,000원), 도가니탕(23,000원), 도가니수육(40,000원), 떡만두설농탕(13,000원), 마늘설농탕(15,000원), 만두설농탕(13,000원), 모듬수육(42,000원), 백세설농탕(17,000원), 순사골국(12,000원), 신선제육김치전(13,000원), 신선불고기(20,000원), 신선찐만두(대)(8,000원), 신선찐만두(소)(5,000원), 어린이설농탕(8,000원), 어린이용 순사골국(8,500원), 들깨설농탕(16,000원), 대관령 황태설농탕(16,000원), 명품갈비설농탕(21,000원)"
램스야,O,"육류,고기",광장동,서울 광진구 아차산로78길 166 광장빌딩 1층,3.9,"프리미엄 프렌치랙 (2대)(34,000원), 숄더랙 (2대)(28,000원), 알등심 (200g이상)(26,000원)"
추미각,O,추어,광장동,서울 광진구 광장로1나길 16 1층,4.8,"갈추어탕(12,000원), 통추어탕(13,000원), 우렁추어탕(13,000원), 추어튀김(15,000원), 파전(16,000원), 가오리회무침(23,000원), 골뱅이무침(25,000원), 계란탕(7,000원)"
광나루한우정육식당,O,"육류,고기",광장동,서울 광진구 아차산로78길 162,4.0,"안창살(500g)(108,000원), 치마살(500g)(79,000원), 꽃등심(500g)(69,000원), 모듬(500g)(59,000원), 특수부위(500g)(98,000원), 왕갈비탕(12,000원)"
다야,O,국수,광장동,서울 광진구 광장로1길 20,4.7,"민속국시(7,000원), 항아리 수제비(7,000원), 비빔칼국수(8,000원), 도토리묵(9,000원), 두부김치(9,000원), 파전(9,000원), 김치전(9,000원)"
광나루순대,O,순대,광장동,서울 광진구 아차산로 621 1층,3.1,"오향족발(31,000원), 족발직화구이(34,000원), 감자탕(34,000원), 왕순대(23,000원), 만나소순대(15,000원), 오징어순대(14,000원), 모듬순대(35,000원), 순대볶음(14,000원), 순대전골(26,000원), 술국(21,000원), 수육(15,000원), 막창구이(14,000원), 양념막창구이(16,000원), 빈대떡(16,000원), 파전(21,000원), 감자전(14,000원), 순대 정식(15,000원), 옛날 순대국(9,000원), 뼈해장국(10,000원), 불고기라멘순대국(10,000원), 제육돌판비빔밥(10,000원), 아바이순대국(11,000원), 서리태콩국수(9,000원), 냉면(9,000원), 비빔냉면(10,000원)"
오늘도낙지,O,"해물,생선",광장동,서울 광진구 아차산로76길 6 1층,4.4,"매콤탱글 낙지볶음밥(10,000원), 담백낙지 생합탕(15,000원), 따끈 든든 낙지왕만두(6,000원), 매콤탱글 낙지볶음(20,000원), 바삭삭 고구마 낙지해물파전(15,000원)"
