가게명,지역화폐,메뉴,가격,주메뉴,동,평균가격,가격점수,위생점수,총 점수
아차성,O,짜장면,7500,중식,중곡동,8158.91,64.34683064281872,-30.0,34.34683064281872
영모네중식포차,X,짜장면,8000,중식,중곡동,8158.91,68.63661935233996,8.0,76.63661935233996
하오츠,O,짜장면,7000,중식,군자동,8158.91,60.05704193329746,8.0,68.05704193329746
신중국관 구의점,X,짜장,7000,중식,구의동,8158.91,60.05704193329746,8.0,68.05704193329746
사천왕,O,짜장면,7500,중식,구의동,8158.91,64.34683064281872,8.0,72.34683064281872
짬뽕가온 구의점,O,짜장면,7500,중식,구의동,8158.91,64.34683064281872,8.0,72.34683064281872
보배반점 구의점,X,보배 짜장면,6500,중식,구의동,8158.91,55.76725322377622,8.0,63.76725322377622
금문,O, 짜장면,5000,중식,자양동,8158.91,42.89788709521248,8.0,50.89788709521248
홍콩정통중국요리,X, 짬뽕,8000,중식,화양동,8158.91,68.63661935233996,8.0,76.63661935233996
서하짬뽕,X,짜장,5000,중식,화양동,8158.91,42.89788709521248,8.0,50.89788709521248
미각,O,짜장,7000,중식,화양동,8158.91,60.05704193329746,8.0,68.05704193329746
가람성,O, 짬뽕,6000,중식,화양동,8158.91,51.47746451425496,-30.0,21.47746451425496
바로반점 건대점,O,（인기）제주흑돼지 짜장면,8000,중식,화양동,8158.91,68.63661935233996,8.0,76.63661935233996
천미향,O,유니자장면,8000,중식,군자동,8158.91,68.63661935233996,30.0,98.63661935233996
시옌 건대점,X, 유니자장면,7700,중식,화양동,8158.91,66.0627461266272,8.0,74.0627461266272
샹츠마라 구의직영점,X, 황금볶음밥 [엄마손길],7900,중식,구의동,8158.91,67.7786616104357,8.0,75.7786616104357
춘선만두,O, 해물볶음밥,7000,중식,군자동,8158.91,60.05704193329746,-30.0,30.057041933297462
홍콩우육탕면,X, 계란볶음밥,8000,중식,자양동,8158.91,68.63661935233996,8.0,76.63661935233996
청두인상,O, 계란볶음밥,7000,중식,자양동,8158.91,60.05704193329746,8.0,68.05704193329746
허씨 정통중경마라샹궈 3호점,X, 동파육덮밥&컵밥,8000,중식,자양동,8158.91,68.63661935233996,8.0,76.63661935233996
순희냉면,X,동파육덮밥&컵밥,8000,중식,자양동,8158.91,68.63661935233996,8.0,76.63661935233996
란주천면관,X, 어향육술덮밥,8000,중식,자양동,8158.91,68.63661935233996,8.0,76.63661935233996
동경규동 광장점,O,[만족도 1위] 김치가츠나베정식 SET,13700,일식,광장동,14018.67,68.40877201617556,8.0,76.40877201617556
동경규동 건대점,X, 숙성등심가츠동,8700,일식,자양동,14018.67,43.44206690078303,8.0,51.44206690078303
타코비 자양점,X,타코비 스탠다드,7500,일식,자양동,14018.67,37.450057673088814,8.0,45.450057673088814
김바삭군의볼카츠마켙 광진중곡점,X,치즈볼카츠,6500,일식,중곡동,14018.67,32.45671665001031,8.0,40.45671665001031
도락,X, 튀김우동,7500,일식,구의동,14018.67,37.450057673088814,-30.0,7.450057673088814
유카레 자양점,X,수제 등심 돈까스 ＋ 카레,11500,일식,자양동,14018.67,57.42342176540285,8.0,65.42342176540285
카츠모프리미엄돈카츠,X, 치즈카츠,12900,일식,군자동,14018.67,64.41409919771276,8.0,72.41409919771276
스테이키 건대스타시티점,X,우삼겹 야키니쿠 (120g),7900,일식,자양동,14018.67,39.44739408232022,8.0,47.44739408232022
더모밀,X,모밀국수,9000,일식,자양동,14018.67,44.94006920770658,8.0,52.94006920770658
라멘이자카야쿠잔,X, 바삭오징어한입후라이,8800,일식,군자동,14018.67,43.94140100309088,8.0,51.94140100309088
모두의타코야키 자양점,X,타코야키 오리지날,7000,일식,자양동,14018.67,34.953387161549564,8.0,42.95338716154957
심당 구의점,X, 해물떡볶이,13900,일식,구의동,14018.67,69.40744022079127,8.0,77.40744022079127
정통숯불꼬치구이구르메 군자점,X, 모찌리도후(한정),9000,일식,군자동,14018.67,44.94006920770658,8.0,52.94006920770658
막돼먹은돈까스 구의점,X, 시그니처 매콤왕돈,14000,일식,구의동,14018.67,69.90677432309911,8.0,77.90677432309911
동경규동 세종대점,X, 불판김치규동,10400,일식,군자동,14018.67,51.930746640016494,8.0,59.930746640016494
행복한그릇,O, 네기가츠동,8500,일식,군자동,14018.67,42.44339869616733,8.0,50.44339869616733
혼다라멘 어린이대공원점,O, 매운혼다라멘세트 （매운돈코츠＋사골육수）,10500,일식,군자동,14018.67,52.43008074232434,8.0,60.43008074232434
아도겐,O, 황제 계란탕,14000,일식,능동,14018.67,69.90677432309911,-30.0,39.90677432309912
세종라멘,X, B세트,6200,일식,군자동,14018.67,30.95871434308675,8.0,38.958714343086754
오늘은카레 광진자양점,X,등심돈까스카레,10000,일식,자양동,14018.67,49.93341023078509,8.0,57.93341023078509
텐동하나비,O,하나비텐동,11000,일식,중곡동,14018.67,54.9267512538636,8.0,62.9267512538636
나혼자카츠나베 건대점,X,김치카츠나베,12900,일식,자양동,14018.67,64.41409919771276,8.0,72.41409919771276
토모멘야,O, 탄탄멘,11000,일식,구의동,14018.67,54.9267512538636,8.0,62.9267512538636
라멘미세,O, 매운돈코츠라멘,8500,일식,중곡동,14018.67,42.44339869616733,8.0,50.44339869616733
유니드라멘,X, 시루나시 탄탄멘,10000,일식,중곡동,14018.67,49.93341023078509,8.0,57.93341023078509
류지로,X, 전어 스시(2p) コノシロすし2p,7000,일식,중곡동,14018.67,34.953387161549564,8.0,42.95338716154957
모리본,O, 야끼교자,6000,일식,중곡동,14018.67,29.960046138471053,-30.0,-0.0399538615289465
텐동한,X, 아나고텐동,13000,일식,중곡동,14018.67,64.91343330002061,8.0,72.91343330002061
덮밥장사장 중곡점,O,장사장 부타동,9400,일식,중곡동,14018.67,46.93740561693799,8.0,54.93740561693799
혼다라멘,O, 마제소바라멘세트,11900,일식,구의동,14018.67,59.42075817463425,-30.0,29.42075817463425
카레시대,O,돈까스카레,8500,일식,자양동,14018.67,42.44339869616733,8.0,50.44339869616733
산쪼메 구의점,X, 산쪼메라멘,9500,일식,구의동,14018.67,47.43673971924583,8.0,55.43673971924583
스키야키모리 군자역점,X,치킨데리야끼,10000,일식,중곡동,14018.67,49.93341023078509,8.0,57.93341023078509
달팽이부엌,O,돈까스정식,11500,일식,자양동,14018.67,57.42342176540285,8.0,65.42342176540285
소바쿠,O,토리카라,6500,일식,능동,14018.67,32.45671665001031,-30.0,2.456716650010307
